Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Efectivo e inv. a CP, Total;30733000;9027000;18102000;;;4589000;9778000;12232000;4855000;5570000;3361000;40958000;28358000;10253000;14285000
Efectivo y equivalentes;30733000;9027000;18102000;;;;;;;5556000;3282000;4077000;10287000;10253000;8515000
Valores negociables;;;;;;4589000;9778000;12232000;4855000;14000;79000;36881000;18071000;;5770000
Cuentas por cobrar, Total;9605000;33126000;10421000;22979000;25043000;31660000;31457000;29091000;26926000;22137000;40052000;43731000;36937000;34522000;33452000
Otras cuentas por cobrar;9605000;10751000;10421000;22979000;25043000;31660000;31457000;29091000;26926000;22137000;40052000;43731000;36937000;34522000;33452000
Títulos por cobrar;;22375000;;;;;;;;;;;;;
Otros activos circ., Total;158552000;9922000;9416000;228114000;22651000;78425000;30091000;34032000;47254000;34428000;36967000;39435000;48614000;50829000;30903000
Efectivo restringido;;9922000;9416000;32526000;22651000;29425000;29791000;33632000;34661000;28812000;36667000;39435000;33331000;33814000;30903000
Otros activos circulantes;158552000;;;195588000;;49000000;300000;400000;12593000;5616000;300000;;15283000;17015000;
Activos circulantes;198890000;52075000;37939000;251093000;47694000;114674000;71326000;75355000;79035000;62135000;80380000;124124000;113909000;95604000;78640000
Inmovilizado material neto;1480722000;1463894000;1443498000;3492821000;3641767000;4823489000;4793159000;4816410000;4854049000;4760146000;4704246000;4637310000;4802763000;4820748000;4811123000
Inmovilizado material bruto;1573901000;1609821000;1644252000;3789380000;4064824000;5381086000;5524443000;5726303000;5908478000;5995844000;6015508000;6129407000;6465705000;;6783387000
Depreciación acumulada;-93179000;-145927000;-200754000;-296559000;-423057000;-557597000;-731284000;-909893000;-1054429000;-1235698000;-1311262000;-1492097000;-1662942000;;-1972264000
Otros activos intangibles;;;;20300000;19400000;28400000;27300000;26200000;;;;;;;
Inversiones a largo plazo;2100000;1900000;1700000;;;;;;;;;;;;
Otros activos, Total;19255000;8148000;8144000;12591000;13914000;13320000;10553000;10707000;9327000;7478000;5901000;11280000;20626000;53568000;12415000
Cargos diferidos (LP);;;;1900000;4000000;2800000;1700000;3600000;2600000;2100000;1000000;4800000;3500000;;800000
Otros activos;19255000;8148000;8144000;10691000;9914000;10520000;8853000;7107000;6727000;5378000;4901000;6480000;17126000;53568000;11615000
Activos no circulantes;1502077000;1473942000;1453342000;3525712000;3675081000;4865209000;4831012000;4853317000;4863376000;4767624000;4710147000;4648590000;4823389000;4874316000;4823538000
Activos totales;1700967000;1526017000;1491281000;3776805000;3722775000;4979883000;4902338000;4928672000;4942411000;4829759000;4790527000;4772714000;4937298000;4969920000;4902178000
Cuentas por pagar;12253000;13101000;16519000;35276000;36023000;45712000;52657000;55594000;60581000;37302000;46570000;55115000;63851000;121024000;64334000
Gastos devengados;1000000;;;11500000;14600000;12400000;21700000;21200000;600000;6100000;18500000;12500000;20900000;;6700000
Préstamos a corto plazo;;;;11000;;;;;;;;;;;
Parte circ. de la deuda;;;;74000;;;;;;117000;;;113597000;;266710000
Parte circ. arrendamientos;;;;;;;;;;;;;7262000;;7399000
Otros pasivos circulantes, Total;;;;;17400000;22300000;23000000;22400000;22400000;;;36600000;31400000;;18900000
Otros pasivos circulantes;;;;;17400000;22300000;23000000;22400000;22400000;;;36600000;31400000;;18900000
Pasivos circulantes;13253000;13101000;16519000;46861000;68023000;80412000;97357000;99194000;83581000;43519000;65070000;104215000;237010000;121024000;364043000
Deuda a largo plazo;124124000;166783000;162551000;707320000;1000294000;1338407000;1222196000;1414468000;1329960000;1525270000;1454345000;1366249000;1260230000;1471452000;1275393000
Arrendamientos financieros (LP);;;;;;;;;228757000;231623000;123791000;123855000;116077000;111585000;114147000
Otros pasivos, Total;;;400000;7000000;6700000;44000000;11700000;6000000;9100000;;;;;;
