Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;30/06/2011;30/06/2012;30/06/2013;30/06/2014;30/06/2015;30/06/2016;30/06/2017;30/06/2018;30/06/2019;30/06/2020;30/06/2021;30/06/2022;30/06/2023;30/06/2024;30/06/2025
Divisa;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD
Efectivo e inv. a CP, Total;132200000;98800000;107600000;318000000;171000000;69200000;88700000;34800000;25200000;29300000;148800000;214000000;92000000;136000000;168000000
Efectivo y equivalentes;117100000;98800000;107600000;318000000;171000000;69200000;88700000;34800000;25200000;29300000;148800000;172000000;92000000;49000000;64000000
Valores negociables;15100000;;;;;;;;;;;42000000;;87000000;104000000
Cuentas por cobrar, Total;473500000;548100000;579500000;650000000;543000000;513900000;514600000;539300000;481800000;467900000;501600000;451000000;851000000;593000000;623000000
Cuentas por cobrar;366200000;381600000;398400000;367000000;353000000;351700000;323500000;415800000;360300000;352200000;335900000;329000000;412000000;487000000;483000000
Otras cuentas por cobrar;107300000;166500000;181100000;283000000;190000000;162200000;191100000;123500000;121500000;115700000;165700000;122000000;439000000;106000000;140000000
Inventario;177600000;215800000;212200000;215000000;189000000;152700000;111800000;118100000;117200000;145800000;150400000;186000000;235000000;250000000;282000000
Gastos anticipados;10600000;8000000;10200000;19000000;9000000;6900000;6900000;;;;;;;;
Otros activos circ., Total;6200000;8800000;23400000;112000000;22000000;101200000;7400000;114000000;115400000;72300000;11100000;9000000;15000000;12000000;12000000
Otros activos circulantes;6200000;8800000;23400000;112000000;22000000;101200000;7400000;114000000;115400000;72300000;11100000;9000000;15000000;12000000;12000000
Activos circulantes;800100000;879500000;932900000;1314000000;934000000;843900000;729400000;806200000;739600000;715300000;811900000;860000000;1193000000;991000000;1085000000
Inmovilizado material neto;8325200000;9037200000;9459500000;9441000000;9900000000;9719200000;8835000000;8659900000;8536300000;8537100000;8445300000;8416000000;9945000000;10153000000;10165000000
Inmovilizado material bruto;10383100000;11446000000;12334700000;12478000000;13419000000;13727400000;14070600000;14207600000;14405500000;14878900000;15291200000;15751000000;17852000000;18595000000;19231000000
Depreciación acumulada;-2057900000;-2408800000;-2875200000;-3037000000;-3519000000;-4008200000;-5235600000;-5547700000;-5869200000;-6341800000;-6845900000;-7335000000;-7907000000;-8442000000;-9066000000
Fondo de comercio;300000;300000;300000;;;;;;;5200000;24900000;27000000;50000000;50000000;0
Otros activos intangibles;24600000;16300000;25000000;64000000;127000000;190200000;170000000;172600000;176900000;182300000;206900000;182000000;170000000;159000000;140000000
Inversiones a largo plazo;37800000;78000000;79200000;83000000;337000000;79400000;76000000;113600000;199500000;223500000;151100000;60000000;175000000;99000000;107000000
Otros activos, Total;23200000;9200000;22200000;46000000;38000000;36300000;35500000;29500000;48800000;108600000;124500000;131000000;146000000;144000000;145000000
Cuentas por cobrar (LP);;;;;;;;;;70500000;78600000;75000000;86000000;77000000;64000000
Préstamos por cobrar (LP);;;3000000;;;;;;;;;;;;
Otros activos;23200000;9200000;19200000;46000000;38000000;36300000;35500000;29500000;48800000;38100000;45900000;56000000;60000000;67000000;81000000
Activos no circulantes;8411100000;9141000000;9586200000;9634000000;10402000000;10025100000;9116500000;8975600000;8961500000;9056700000;8952700000;8816000000;10486000000;10605000000;10557000000
Activos totales;9211200000;10020500000;10519100000;10948000000;11336000000;10869000000;9845900000;9781800000;9701100000;9772000000;9764600000;9676000000;11679000000;11596000000;11642000000
Cuentas por pagar;280100000;313500000;283400000;364000000;341000000;279300000;273800000;247700000;297500000;289000000;234000000;254000000;307000000;350000000;344000000
Gastos devengados;307200000;345800000;332000000;324000000;325000000;255300000;279700000;248000000;236100000;237900000;268800000;248000000;260000000;295000000;288000000
Préstamos a corto plazo;;;;42000000;59000000;6000000;79000000;;;;;;;;
Parte circ. de la deuda;;600000;700000;;;27200000;;100000000;149000000;691200000;59100000;255000000;566000000;954000000;971000000
Parte circ. arrendamientos;;;;;;;;;;17400000;17000000;16000000;20000000;25000000;26000000
Otros pasivos circulantes, Total;106600000;107800000;165600000;164000000;179000000;171500000;111700000;252600000;265900000;236900000;138300000;195000000;157000000;102000000;157000000
