Periodo fiscal;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP
Efectivo e inv. a CP, Total;82400000;281800000;282400000;333600000;477700000;610500000;956900000;776900000;1504000000;1426100000;1432900000;540100000
Efectivo y equivalentes;82400000;281800000;282400000;333600000;477700000;610500000;944300000;776900000;1504000000;1426100000;1432900000;540100000
Valores negociables;;;;;;;12600000;;;;;
Cuentas por cobrar, Total;701600000;886500000;1099100000;1188900000;1259800000;1190500000;1306300000;1352200000;1482100000;1502800000;1554700000;1653600000
Cuentas por cobrar;700900000;752100000;938000000;1029600000;1083100000;1020200000;1138000000;1173300000;1266000000;1287300000;1284500000;1354700000
Otras cuentas por cobrar;700000;134400000;161100000;159300000;176700000;170300000;168300000;178900000;216100000;215500000;270200000;298900000
Inventario;705300000;794200000;960900000;1064900000;1213600000;1177200000;1432200000;1474000000;1748600000;1621100000;1760900000;1682600000
Gastos anticipados;168900000;61700000;64100000;73900000;74200000;70300000;96100000;86800000;87900000;84400000;92400000;91600000
Otros activos circ., Total;12600000;17200000;12500000;38000000;12600000;3400000;;14900000;19000000;11700000;43700000;10800000
Otros activos circulantes;12600000;17200000;12500000;38000000;12600000;3400000;;14900000;19000000;11700000;43700000;10800000
Activos circulantes;1670800000;2041400000;2419000000;2699300000;3037900000;3051900000;3791500000;3704800000;4841600000;4646100000;4884600000;3978700000
Inmovilizado material neto;119200000;112600000;123300000;125200000;122400000;551200000;576100000;569200000;666800000;775700000;910900000;913200000
Inmovilizado material bruto;322600000;296800000;335100000;345700000;352200000;768100000;814000000;817900000;947300000;1055400000;1189900000;1222300000
Depreciación acumulada;-203400000;-184200000;-211800000;-220500000;-229800000;-216900000;-237900000;-248700000;-280500000;-279700000;-279000000;-309100000
Fondo de comercio;922300000;999300000;1191500000;1378000000;1420400000;1403600000;1494600000;1698500000;1931600000;2008900000;2286100000;2335200000
Otros activos intangibles;556500000;646800000;756100000;973700000;962100000;887300000;947300000;1068300000;1162300000;1233200000;1397700000;1282900000
Inversiones a largo plazo;;;;;;11500000;;;;;;
Otros activos, Total;20200000;21900000;17200000;13400000;13300000;14500000;19900000;73300000;64500000;83300000;49900000;62200000
Impuesto diferido (LP);3900000;;2300000;3400000;4000000;3700000;2500000;2800000;4000000;14200000;14100000;21900000
Otros activos;16300000;21900000;14900000;10000000;9300000;10800000;17400000;70500000;60500000;69100000;35800000;40300000
Activos no circulantes;1618200000;1780600000;2088100000;2490300000;2518200000;2868100000;3037900000;3409300000;3825200000;4101100000;4644600000;4593500000
Activos totales;3289000000;3822000000;4507100000;5189600000;5556100000;5920000000;6829400000;7114100000;8666800000;8747200000;9529200000;8572200000
Cuentas por pagar;697200000;735400000;911800000;1032100000;1143900000;1067900000;1080400000;1216600000;1440900000;1290100000;1392900000;1378100000
Gastos devengados;190400000;199800000;228500000;277800000;308600000;283700000;520100000;447800000;552800000;524800000;538200000;453600000
Préstamos a corto plazo;28100000;231100000;155700000;221300000;333500000;469700000;514600000;551600000;825900000;874200000;987900000;212600000
Parte circ. de la deuda;38600000;120800000;85800000;144700000;74700000;83700000;79900000;111900000;161000000;130000000;619200000;203800000
Parte circ. arrendamientos;;;200000;400000;200000;121800000;129100000;129100000;145900000;152100000;180400000;187000000
