Periodo fiscal;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Efectivo e inv. a CP, Total;;33431000;22834000;48873000;208078000;234303000;621051000;82958000;68635000;69973000;61793000;138769000
Efectivo y equivalentes;;33431000;22834000;48873000;208078000;234303000;621051000;82958000;53063000;60392000;47652000;136863000
Valores negociables;;;;;;;;;15572000;9581000;14141000;1906000
Cuentas por cobrar, Total;;183367000;216178000;217528000;219622000;235398000;346931000;380014000;442145000;443387000;430596000;399338000
Cuentas por cobrar;;183367000;199751000;202200000;194279000;214842000;324221000;380014000;430042000;426048000;386924000;368521000
Otras cuentas por cobrar;;;16427000;15328000;25343000;20556000;22710000;;12103000;17339000;43672000;30817000
Inventario;;;12735000;10396000;7875000;9371000;21514000;27040000;29297000;30719000;7427000;6833000
Otros activos circ., Total;;47977000;54312000;39832000;22560000;28763000;28954000;29006000;34438000;46841000;60129000;44847000
Efectivo restringido;;47977000;40096000;21090000;6019000;6310000;;;;;;
Otros activos circulantes;;;14216000;18742000;16541000;22453000;28954000;29006000;34438000;46841000;60129000;44847000
Activos circulantes;;264775000;306059000;316629000;458135000;507835000;1018450000;519018000;574515000;590920000;559945000;589787000
Inmovilizado material neto;;1845912000;1784066000;1834885000;1839701000;3050615000;5162820000;5549682000;5424965000;5459203000;5347194000;5683064000
Inmovilizado material bruto;;2729290000;2742359000;2886839000;2958642000;4314975000;6610538000;7300239000;7460375000;7821453000;7800791000;8324305000
Depreciación acumulada;;-883378000;-958293000;-1051954000;-1118941000;-1264360000;-1447718000;-1750557000;-2035410000;-2362250000;-2453597000;-2641241000
Fondo de comercio;;186925000;186805000;188169000;186095000;318483000;794335000;1072980000;1033637000;794004000;784042000;828335000
Otros activos intangibles;;26274000;24254000;26645000;25056000;284758000;797423000;980966000;925223000;897414000;838660000;819494000
