Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;30/06/2011;30/06/2012;30/06/2013;30/06/2014;30/06/2015;30/06/2016;30/06/2017;30/06/2018;30/06/2019;30/06/2020;30/06/2021;30/06/2022;30/06/2023;30/06/2024;30/06/2025
Divisa;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;USD;USD
Efectivo e inv. a CP, Total;1584000000;1076000000;1750000000;657000000;489000000;1237000000;1215000000;899000000;1058000000;3396000000;2799000000;2421000000;1637000000;1405000000;2647000000
Efectivo y equivalentes;1584000000;1076000000;1750000000;622000000;472000000;1089000000;1191000000;874000000;932000000;3323000000;2749000000;2285000000;1439000000;1130000000;2200000000
Inversiones a corto plazo;;;;35000000;17000000;148000000;24000000;25000000;124000000;73000000;46000000;136000000;198000000;275000000;447000000
Valores negociables;;;;;;;;;2000000;;4000000;;;;
Cuentas por cobrar, Total;1847000000;1961000000;2313000000;2357000000;2289000000;2498000000;2433000000;2586000000;2575000000;2144000000;2380000000;2792000000;2723000000;3517000000;3725000000
Cuentas por cobrar;1501000000;1749000000;2021000000;2004000000;1933000000;2155000000;2130000000;2152000000;2173000000;1498000000;1817000000;2155000000;2011000000;2674000000;2789000000
Otras cuentas por cobrar;346000000;212000000;292000000;353000000;356000000;343000000;303000000;434000000;402000000;646000000;563000000;637000000;712000000;843000000;936000000
Inventario;3473000000;3955000000;4207000000;4222000000;4574000000;4579000000;4788000000;5015000000;5472000000;5772000000;6045000000;7094000000;7661000000;9720000000;10658000000
Gastos anticipados;130000000;142000000;124000000;142000000;146000000;189000000;159000000;157000000;202000000;157000000;150000000;290000000;229000000;274000000;133000000
Otros activos circ., Total;127000000;119000000;116000000;91000000;172000000;349000000;57000000;34000000;66000000;2000000;71000000;337000000;149000000;210000000;334000000
Otros activos circulantes;127000000;119000000;116000000;91000000;172000000;349000000;57000000;34000000;66000000;2000000;71000000;337000000;149000000;210000000;334000000
Activos circulantes;7161000000;7253000000;8510000000;7469000000;7670000000;8852000000;8652000000;8691000000;9373000000;11471000000;11445000000;12934000000;12399000000;15126000000;17497000000
Inmovilizado material neto;2552000000;2972000000;3425000000;3433000000;3690000000;3881000000;4014000000;4089000000;4455000000;4926000000;4849000000;5848000000;6142000000;8509000000;9528000000
Inmovilizado material bruto;4526000000;4968000000;5627000000;5502000000;5846000000;6214000000;6530000000;6779000000;7412000000;8260000000;8182000000;9450000000;9569000000;13029000000;14670000000
Depreciación acumulada;-1974000000;-1996000000;-2202000000;-2069000000;-2156000000;-2333000000;-2516000000;-2690000000;-2957000000;-3334000000;-3333000000;-3602000000;-3427000000;-4520000000;-5142000000
Fondo de comercio;418000000;1312000000;1377000000;1201000000;2521000000;2699000000;2723000000;2678000000;2682000000;1912000000;1957000000;2287000000;2227000000;2860000000;2949000000
Otros activos intangibles;6127000000;7509000000;7636000000;6690000000;8710000000;9671000000;9843000000;9894000000;9875000000;9388000000;8807000000;9615000000;9285000000;11954000000;11827000000
Inversiones a largo plazo;2487000000;2295000000;2933000000;3389000000;2290000000;2677000000;2896000000;3077000000;3343000000;3805000000;3459000000;3690000000;3886000000;5126000000;5381000000
Otros activos, Total;1032000000;1009000000;1110000000;782000000;923000000;711000000;720000000;1286000000;1568000000;1806000000;1436000000;2142000000;1682000000;1899000000;2140000000
Cuentas por cobrar (LP);;;;;;36000000;;;;3000000;5000000;3000000;1000000;;1000000
Impuesto diferido (LP);516000000;329000000;242000000;246000000;189000000;298000000;134000000;122000000;138000000;119000000;100000000;114000000;141000000;143000000;150000000
Otros activos;516000000;680000000;868000000;536000000;734000000;377000000;586000000;1164000000;1430000000;1684000000;1331000000;2025000000;1540000000;1756000000;1989000000
Activos no circulantes;12616000000;15097000000;16481000000;15495000000;18134000000;19639000000;20196000000;21024000000;21923000000;21837000000;20508000000;23582000000;23222000000;30348000000;31825000000
Activos totales;19777000000;22350000000;24991000000;22964000000;25804000000;28491000000;28848000000;29715000000;31296000000;33308000000;31953000000;36516000000;35621000000;45474000000;49322000000
Cuentas por pagar;986000000;1078000000;1087000000;903000000;883000000;1088000000;1365000000;1514000000;1694000000;1333000000;2014000000;2705000000;2659000000;3071000000;3123000000
Gastos devengados;1446000000;1548000000;1697000000;1380000000;1502000000;1742000000;1682000000;1907000000;1864000000;1821000000;1932000000;2474000000;2098000000;2646000000;2957000000
Préstamos a corto plazo;103000000;191000000;177000000;278000000;520000000;419000000;348000000;333000000;980000000;350000000;210000000;55000000;249000000;514000000;22000000
Parte circ. de la deuda;1344000000;1039000000;1675000000;1298000000;1401000000;1639000000;2111000000;1495000000;979000000;1645000000;1652000000;1468000000;1458000000;2387000000;2914000000
Parte circ. arrendamientos;7000000;23000000;30000000;32000000;38000000;29000000;26000000;31000000;43000000;106000000;82000000;85000000;75000000;95000000;112000000
Otros pasivos circulantes, Total;1029000000;905000000;853000000;960000000;946000000;1270000000;1128000000;1080000000;1443000000;1241000000;1252000000;1655000000;1075000000;1155000000;1584000000
Impuestos (CP);381000000;317000000;224000000;197000000;162000000;340000000;294000000;243000000;378000000;246000000;146000000;252000000;135000000;136000000;138000000
Ingresos no devengados (CP);19000000;17000000;19000000;23000000;34000000;34000000;29000000;37000000;56000000;79000000;72000000;90000000;73000000;84000000;82000000
Otros pasivos circulantes;629000000;571000000;610000000;740000000;750000000;896000000;805000000;800000000;1009000000;916000000;1034000000;1313000000;867000000;935000000;1364000000
Pasivos circulantes;4915000000;4784000000;5519000000;4851000000;5290000000;6187000000;6660000000;6360000000;7003000000;6496000000;7142000000;8442000000;7614000000;9868000000;10712000000
Deuda a largo plazo;6748000000;7399000000;8217000000;7638000000;7917000000;8071000000;6608000000;8144000000;10608000000;14804000000;12959000000;14781000000;15172000000;18976000000;21022000000
Arrendamientos financieros (LP);72000000;207000000;259000000;259000000;224000000;213000000;157000000;124000000;85000000;364000000;281000000;390000000;373000000;509000000;541000000
Otros pasivos, Total;2057000000;3149000000;2908000000;2626000000;3117000000;3840000000;3395000000;3374000000;3444000000;3204000000;3140000000;3389000000;3170000000;4051000000;3869000000
Ingresos no devengados (LP);12000000;13000000;14000000;10000000;15000000;21000000;;;;;;;;;
Impuestos diferidos (LP);777000000;1424000000;1467000000;1365000000;1896000000;1982000000;2112000000;1987000000;2032000000;1972000000;1945000000;2319000000;2183000000;2947000000;2944000000
Pensión y otros beneficios;898000000;1107000000;853000000;726000000;695000000;1248000000;772000000;872000000;846000000;749000000;574000000;402000000;373000000;429000000;409000000
Otros pasivos;370000000;605000000;574000000;525000000;511000000;589000000;511000000;515000000;566000000;483000000;621000000;668000000;614000000;675000000;516000000
Pasivos no circulantes;8877000000;10755000000;11384000000;10523000000;11258000000;12124000000;10160000000;11642000000;14137000000;18372000000;16380000000;18560000000;18715000000;23536000000;25432000000
Pasivos totales;13792000000;15539000000;16903000000;15374000000;16548000000;18311000000;16820000000;18002000000;21140000000;24868000000;23522000000;27002000000;26329000000;33404000000;36144000000
Patrimonio ordinario, Total;5245000000;5588000000;7036000000;6823000000;7771000000;8530000000;10313000000;9948000000;8361000000;6772000000;6897000000;7798000000;7822000000;10032000000;11090000000
Acciones ordinarias;797000000;797000000;797000000;797000000;797000000;797000000;797000000;780000000;753000000;742000000;741000000;723000000;712000000;887000000;887000000
Capital desembolsado adicional;1343000000;1344000000;1344000000;1345000000;1346000000;1347000000;1348000000;1349000000;1350000000;1351000000;1351000000;1351000000;1351000000;1703000000;1703000000
Beneficio no distribuido;2062000000;2491000000;3973000000;4718000000;5862000000;5950000000;7651000000;7830000000;5912000000;4343000000;5061000000;5388000000;5712000000;9783000000;10274000000
Autocartera;-2257000000;-2257000000;-2232000000;-2280000000;-2228000000;-2189000000;-2176000000;-2144000000;-2026000000;-1936000000;-1877000000;-1838000000;-1814000000;-2250000000;-2228000000
Resultado global y otros;3300000000;3213000000;3154000000;2243000000;1994000000;2625000000;2693000000;2133000000;2372000000;2272000000;1621000000;2174000000;1861000000;-91000000;454000000
Intereses minoritarios;740000000;1223000000;1052000000;767000000;1485000000;1650000000;1715000000;1765000000;1795000000;1668000000;1534000000;1716000000;1470000000;2038000000;2088000000
Patrimonio neto;5985000000;6811000000;8088000000;7590000000;9256000000;10180000000;12028000000;11713000000;10156000000;8440000000;8431000000;9514000000;9292000000;12070000000;13178000000
Total pasivos y patrimonio neto;19777000000;22350000000;24991000000;22964000000;25804000000;28491000000;28848000000;29715000000;31296000000;33308000000;31953000000;36516000000;35621000000;45474000000;49322000000
Valor en libros tangible;-1300000000;-3233000000;-1977000000;-1068000000;-3460000000;-3840000000;-2253000000;-2624000000;-4196000000;-4528000000;-3867000000;-4104000000;-3690000000;-4782000000;-3686000000
Deuda total;8274000000;8859000000;10358000000;9505000000;10100000000;10371000000;9250000000;10127000000;12695000000;17269000000;15184000000;16779000000;17327000000;22481000000;24611000000
Deuda neta;6690000000;7783000000;8608000000;8848000000;9611000000;9134000000;8035000000;9228000000;11637000000;13873000000;12385000000;14358000000;15690000000;21076000000;21964000000
Fondo de maniobra;2246000000;2469000000;2991000000;2618000000;2380000000;2665000000;1992000000;2331000000;2370000000;4975000000;4303000000;4492000000;4785000000;5258000000;6785000000
Fondo de maniobra neto;2116000000;2646000000;3123000000;3569000000;3850000000;3515000000;3262000000;3291000000;3314000000;3680000000;3448000000;3679000000;4930000000;6849000000;7186000000
Capital total;14259000000;15670000000;18446000000;17095000000;19356000000;20551000000;21278000000;21840000000;22851000000;25709000000;23615000000;26293000000;26619000000;34551000000;37789000000
Capital invertido;12675000000;14594000000;16696000000;16438000000;18867000000;19314000000;20063000000;20941000000;21793000000;22313000000;20816000000;23872000000;24982000000;33146000000;35142000000
Capital empleado;14862000000;17566000000;19472000000;18113000000;20514000000;22304000000;22188000000;23355000000;24293000000;26812000000;24811000000;28074000000;28007000000;35606000000;38610000000
Ventas;9936000000;10639000000;11303000000;10258000000;10813000000;10485000000;12050000000;12163000000;12867000000;11752000000;12733000000;15452000000;17113000000;20269000000;20245000000
