Periodo fiscal;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
Efectivo e inv. a CP, Total;945906000;839312000;274600000;215800000;222400000;472800000;888400000;694900000;719700000;749700000;843200000;664500000
Efectivo y equivalentes;685889000;562446000;199600000;165800000;167200000;201500000;673200000;601700000;513400000;538600000;683600000;663800000
Inversiones a corto plazo;260017000;276866000;75000000;50000000;55200000;255200000;210200000;53200000;206300000;211100000;110400000;700000
Valores negociables;;;;;;16100000;5000000;40000000;;;49200000;
Cuentas por cobrar, Total;296146000;309498000;536500000;526700000;645500000;773900000;464400000;611200000;725400000;821600000;1150300000;738300000
Cuentas por cobrar;14322000;17024000;5800000;13700000;400000;17300000;6400000;21400000;54800000;89900000;134300000;163100000
Otras cuentas por cobrar;281824000;266665000;530700000;513000000;645100000;756600000;458000000;589800000;670600000;731700000;1016000000;575200000
Títulos por cobrar;;25809000;;;;;;;;;;
Inventario;5493000;6328000;10600000;10500000;8700000;10500000;14900000;13000000;18500000;22700000;19900000;19400000
Gastos anticipados;;;32200000;43500000;52900000;29600000;21600000;21600000;24000000;24300000;27600000;31700000
Otros activos circ., Total;123184000;134123000;100000;200000;700000;1000000;500000;500000;25600000;78900000;1900000;129600000
Otros activos circulantes;123184000;134123000;100000;200000;700000;1000000;500000;500000;25600000;78900000;1900000;129600000
Activos circulantes;1370729000;1289261000;854000000;796700000;930200000;1287800000;1389800000;1341200000;1513200000;1697200000;2042900000;1583500000
Inmovilizado material neto;108548000;145345000;347500000;369000000;376800000;392600000;373200000;358600000;350000000;363600000;433000000;444400000
Inmovilizado material bruto;483760000;470895000;680800000;703600000;672500000;745500000;765200000;784100000;780600000;819300000;800300000;851400000
Depreciación acumulada;-375212000;-325550000;-333300000;-334600000;-295700000;-352900000;-392000000;-425500000;-430600000;-455700000;-367300000;-407000000
Fondo de comercio;1404000;1108000;;;1100000;56400000;26900000;;56600000;190800000;1200700000;1242400000
