Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;29/05/2011;27/05/2012;26/05/2013;25/05/2014;31/05/2015;29/05/2016;28/05/2017;27/05/2018;26/05/2019;31/05/2020;30/05/2021;29/05/2022;28/05/2023;26/05/2024;25/05/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Efectivo e inv. a CP, Total;619600000;471200000;741400000;867300000;334200000;763700000;766100000;399000000;450000000;1677800000;1865200000;819200000;702700000;418000000;363900000
Efectivo y equivalentes;619600000;471200000;741400000;867300000;334200000;763700000;766100000;399000000;450000000;1677800000;1505200000;569400000;585500000;418000000;363900000
Inversiones a corto plazo;;;;;;;;;;;360000000;249800000;117200000;;
Cuentas por cobrar, Total;1296000000;1427400000;1639500000;1637500000;1535500000;1520100000;1593800000;1858600000;1929900000;1700300000;1777600000;1874900000;1968900000;1917800000;1937100000
Cuentas por cobrar;1162300000;1323600000;1446400000;1483600000;1386700000;1360800000;1430100000;1684200000;1679700000;1615100000;1638500000;1692100000;1683200000;1696200000;1795900000
Otras cuentas por cobrar;133700000;103800000;193100000;153900000;148800000;159300000;163700000;174400000;250200000;85200000;139100000;182800000;285700000;221600000;141200000
Inventario;1609300000;1478800000;1545500000;1559400000;1540900000;1413700000;1483600000;1642200000;1559300000;1426300000;1820500000;1867300000;2172000000;1898200000;1910800000
Gastos anticipados;183400000;178300000;168600000;187200000;169300000;177900000;168900000;165600000;189000000;194500000;221700000;213500000;244400000;266100000;269000000
Otros activos circ., Total;193700000;135700000;203900000;142100000;105700000;61800000;49000000;58300000;58300000;122400000;69500000;314900000;88400000;80800000;794900000
Impuesto diferido (CP);27300000;59700000;128000000;74100000;;;;;;;;;;;
Otros activos circulantes;166400000;76000000;75900000;68000000;105700000;61800000;49000000;58300000;58300000;122400000;69500000;314900000;88400000;80800000;794900000
Activos circulantes;3902000000;3691400000;4298900000;4393500000;3685600000;3937200000;4061400000;4123700000;4186500000;5121300000;5754500000;5089800000;5176400000;4580900000;5275700000
Inmovilizado material neto;3345900000;3652700000;3878100000;3941900000;3783300000;3743600000;3687700000;4047200000;3787200000;3945800000;3985400000;3730600000;3976200000;4230000000;4031700000
Inmovilizado material bruto;7492100000;8284700000;8932900000;9393100000;9591100000;9503500000;9526600000;10003200000;10080500000;10320000000;10843700000;10547100000;10909600000;11466500000;10844800000
Depreciación acumulada;-4146200000;-4632000000;-5054800000;-5451200000;-5807800000;-5759900000;-5838900000;-5956000000;-6293300000;-6374200000;-6858300000;-6816500000;-6933400000;-7236500000;-6813100000
Fondo de comercio;6750800000;8182500000;8622200000;8650500000;8874900000;8741200000;8747200000;14065000000;13995800000;13923200000;14062400000;14378500000;14511200000;14750700000;15622400000
Otros activos intangibles;3813300000;4704900000;5015100000;5014300000;4677000000;4538600000;4530400000;7445100000;7166800000;7095800000;7150600000;6999900000;6967600000;6979900000;7081400000
Inversiones a largo plazo;519100000;529000000;478500000;507500000;530600000;518900000;505300000;499600000;452900000;566700000;566400000;513800000;462000000;397900000;431900000
Otros activos, Total;343400000;336300000;365200000;638000000;280600000;232800000;280600000;443400000;522000000;153900000;322600000;377500000;358300000;530500000;628000000
Préstamos por cobrar (LP);;98900000;88800000;68200000;30700000;12700000;;;;;;;;;
Impuesto diferido (LP);;;;;;;;;;;;;;167500000;186100000
Otros activos;343400000;237400000;276400000;569800000;249900000;220100000;280600000;443400000;522000000;153900000;322600000;377500000;358300000;363000000;441900000
Activos no circulantes;14772500000;17405400000;18359100000;18752200000;18146400000;17775100000;17751200000;26500300000;25924700000;25685400000;26087400000;26000300000;26275300000;26889000000;27795400000
Activos totales;18674500000;21096800000;22658000000;23145700000;21832000000;21712300000;21812600000;30624000000;30111200000;30806700000;31841900000;31090100000;31451700000;31469900000;33071100000
Cuentas por pagar;995100000;1148900000;1423200000;1611300000;1684000000;2046500000;2119800000;2746200000;2854100000;3247700000;3653500000;3982300000;4194200000;3987800000;4009500000
Gastos devengados;880300000;1028300000;1143800000;1060800000;1018300000;1040500000;893000000;954300000;922500000;1073600000;1095300000;980100000;964000000;895100000;987800000
Préstamos a corto plazo;311300000;526500000;599700000;1111700000;615800000;269800000;1234100000;1549800000;1468700000;279000000;361300000;811400000;31700000;11800000;677000000
Parte circ. de la deuda;1031300000;741200000;1443300000;1250600000;1000400000;1103400000;604700000;1600100000;1396500000;2331500000;2463800000;1674200000;1709100000;1613400000;1528400000
Parte circ. arrendamientos;;;;;;;;;;102000000;111200000;106700000;101900000;102900000;115300000
Otros pasivos circulantes, Total;441200000;398300000;683900000;389100000;571600000;554500000;479200000;491500000;445300000;457700000;580700000;465200000;534800000;422100000;539300000
Impuestos (CP);80400000;39200000;88000000;63100000;20700000;110500000;58000000;94800000;37500000;80300000;37400000;31400000;80900000;82100000;102100000
Otros pasivos circulantes;360800000;359100000;595900000;326000000;550900000;444000000;421200000;396700000;407800000;377400000;543300000;433800000;453900000;340000000;437200000
Pasivos circulantes;3659200000;3843200000;5293900000;5423500000;4890100000;5014700000;5330800000;7341900000;7087100000;7491500000;8265800000;8019900000;7535700000;7033100000;7857300000
Deuda a largo plazo;5564700000;6161900000;5926100000;6423500000;7575300000;7057700000;7642900000;12668700000;11624800000;10929000000;9786900000;9134800000;9965100000;11303300000;12672200000
Arrendamientos financieros (LP);;;;;;;;;;277000000;283200000;248300000;257000000;283700000;303800000
Otros pasivos, Total;2838400000;3361200000;3342000000;3309200000;3195000000;3487200000;3242500000;3344800000;3479900000;3215100000;3127900000;2899100000;2993900000;3201300000;3026600000
Impuestos diferidos (LP);1127400000;1171400000;1389100000;1666000000;1450200000;1399600000;1719400000;2003800000;2031000000;1947100000;2118400000;2218300000;2110900000;2200600000;2100800000
Otros pasivos;1711000000;2189800000;1952900000;1643200000;1744800000;2087600000;1523100000;1341000000;1448900000;1268000000;1009500000;680800000;883000000;1000700000;925800000
Pasivos no circulantes;8403100000;9523100000;9268100000;9732700000;10770300000;10544900000;10885400000;16013500000;15104700000;14421100000;13198000000;12282200000;13216000000;14788300000;16002600000
Pasivos totales;12062300000;13366300000;14562000000;15156200000;15660400000;15559600000;16216200000;23355400000;22191800000;21912600000;21463800000;20302100000;20751700000;21821400000;23859900000
Patrimonio ordinario, Total;6365500000;6421700000;6672200000;6534800000;4996700000;4930200000;4327900000;6141100000;7054500000;8058500000;9470400000;10542400000;10449600000;9396700000;9199200000
