Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
Efectivo e inv. a CP, Total;2486000000;3504000000;3441000000;1545000000;1199000000;1414000000;1211000000;1331000000;1908000000;2176000000;2412000000;1329000000;2190000000;2889000000;3564000000
Efectivo y equivalentes;1980000000;1238000000;1051000000;1228000000;1176000000;1389000000;919000000;1063000000;1460000000;1727000000;2116000000;1088000000;1951000000;2889000000;2708000000
Inversiones a corto plazo;444000000;2266000000;2390000000;317000000;23000000;25000000;292000000;268000000;448000000;449000000;296000000;241000000;239000000;;856000000
Valores negociables;62000000;;;;;;;;;;;;;;
Cuentas por cobrar, Total;2361000000;2423000000;2730000000;3194000000;3468000000;4014000000;4232000000;4273000000;4042000000;3862000000;4461000000;4481000000;4138000000;3817000000;3660000000
Cuentas por cobrar;2001000000;2021000000;2370000000;2747000000;2944000000;3349000000;3544000000;3610000000;3415000000;3106000000;3456000000;3535000000;3471000000;3530000000;3386000000
Otras cuentas por cobrar;360000000;402000000;360000000;447000000;524000000;665000000;688000000;663000000;627000000;756000000;1005000000;946000000;667000000;287000000;274000000
Inventario;1550000000;1478000000;1494000000;1671000000;1721000000;1938000000;2079000000;2177000000;2187000000;2188000000;2629000000;3180000000;2444000000;2568000000;2376000000
Otros activos circ., Total;242000000;193000000;319000000;401000000;529000000;847000000;953000000;902000000;993000000;1106000000;908000000;1435000000;510000000;1757000000;470000000
Otros activos circulantes;242000000;193000000;319000000;401000000;529000000;847000000;953000000;902000000;993000000;1106000000;908000000;1435000000;510000000;1757000000;470000000
Activos circulantes;6639000000;7598000000;7984000000;6811000000;6917000000;8213000000;8475000000;8683000000;9130000000;9332000000;10410000000;10425000000;9282000000;11031000000;10070000000
Inmovilizado material neto;2264000000;2314000000;2295000000;2461000000;2661000000;2887000000;3007000000;3125000000;3775000000;3688000000;3909000000;3911000000;3732000000;3802000000;3777000000
Inmovilizado material bruto;5820000000;5966000000;5942000000;6243000000;6702000000;7052000000;7234000000;7599000000;8591000000;8644000000;9320000000;9627000000;9774000000;;
