Periodo fiscal;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Efectivo e inv. a CP, Total;33003000;11758000;13050000;82244000;126006000;81096000;87122000;140249000;146245000;47597000
Efectivo y equivalentes;33003000;11758000;13050000;82244000;126006000;81096000;87122000;140249000;146245000;47597000
Cuentas por cobrar, Total;;;;;;12916000;38121000;42000000;39600000;39600000
Cuentas por cobrar;;;;;;;;;;16800000
Títulos por cobrar;;;;;;12916000;38121000;42000000;39600000;22800000
Otros activos circ., Total;276000;;;35072000;;5323000;1450000;1450000;;
Efectivo restringido;;;;35072000;;5323000;1450000;1450000;;
Otros activos circulantes;276000;;;;;;;;;
Activos circulantes;33279000;11758000;13050000;117316000;126006000;99335000;126693000;183699000;185845000;87197000
Inmovilizado material neto;30048000;67788000;147359000;507063000;1021024000;1641234000;2068021000;2167178000;2169728000;2113957000
Inmovilizado material bruto;30075000;68730000;150930000;519233000;1061219000;1723172000;2206426000;2369870000;2440918000;2457019000
Depreciación acumulada;-27000;-942000;-3571000;-12170000;-40195000;-81938000;-138405000;-202692000;-271190000;-343062000
Otros activos intangibles;;;;;;9148000;9105000;8245000;7385000;6366000
Inversiones a largo plazo;;;120443000;119595000;619275000;324889000;200935000;21948000;5000000;152665000
Otros activos, Total;;482000;614000;1883000;1776000;9996000;10082000;10020000;10089000;10673000
Otros activos;;482000;614000;1883000;1776000;9996000;10082000;10020000;10089000;10673000
Activos no circulantes;30048000;68270000;268416000;628541000;1642075000;1985267000;2288143000;2207391000;2192202000;2283661000
Activos totales;63327000;80028000;281466000;745857000;1768081000;2084602000;2414836000;2391090000;2378047000;2370858000
Cuentas por pagar;70000;1062000;1968000;1817000;3041000;5253000;8445000;9257000;8461000;8870000
Gastos devengados;;;;1600000;1600000;2465000;2170000;2149000;2100000;2000000
Parte circ. de la deuda;;;;;;;;4431000;;318102000
Parte circ. arrendamientos;;;;;;;;511000;526000;543000
Otros pasivos circulantes, Total;;1198000;3759000;12975000;30065000;38847000;50840000;51827000;54817000;54913000
Otros pasivos circulantes;;1198000;3759000;12975000;30065000;38847000;50840000;51827000;54817000;54913000
Pasivos circulantes;70000;2260000;5727000;16392000;34706000;46565000;61455000;68175000;65904000;384428000
Deuda a largo plazo;;;;134654000;136693000;326092000;301495000;296449000;297865000;75000000
Arrendamientos financieros (LP);;;;1202000;1057000;;;971000;522000;27000
Otros pasivos, Total;2818000;4219000;11447000;45599000;70653000;100246000;89993000;72523000;77696000;63399000
Ingresos no devengados (LP);2542000;4158000;9014000;20631000;34153000;52805000;58716000;59358000;57176000;50307000
Otros pasivos;276000;61000;2433000;24968000;36500000;47441000;31277000;13165000;20520000;13092000
Pasivos no circulantes;2818000;4219000;11447000;181455000;208403000;426338000;391488000;369943000;376083000;138426000
Pasivos totales;2888000;6479000;17174000;197847000;243109000;472903000;452943000;438118000;441987000;522854000
Patrimonio preferente, Total;;14009000;14009000;14009000;14009000;14009000;14009000;14009000;23632000;47780000
Acciones preferentes redimibles;;14009000;14009000;14009000;14009000;14009000;14009000;14009000;23632000;47780000
Patrimonio ordinario, Total;60439000;59540000;250283000;534001000;1510963000;1597690000;1947884000;1938963000;1912428000;1800224000
Acciones ordinarias;3000;4000;10000;13000;24000;26000;28000;28000;28000;28000
Capital desembolsado adicional;64828000;64000000;260540000;553932000;1559059000;1672882000;2065248000;2095789000;2124113000;2113184000
Beneficio no distribuido;-4392000;-4464000;;;;;;;;
Resultado global y otros;;;-10267000;-19944000;-48120000;-75218000;-117392000;-156854000;-211713000;-312988000
Patrimonio neto;60439000;73549000;264292000;548010000;1524972000;1611699000;1961893000;1952972000;1936060000;1848004000
Total pasivos y patrimonio neto;63327000;80028000;281466000;745857000;1768081000;2084602000;2414836000;2391090000;2378047000;2370858000
Valor en libros tangible;60439000;59540000;250283000;534001000;1510963000;1588542000;1938779000;1930718000;1905043000;1793858000
Deuda total;0;0;0;135856000;137750000;326092000;301495000;302362000;298913000;393672000
Deuda neta;-33003000;-11758000;-13050000;53612000;11744000;244996000;214373000;162113000;152668000;346075000
Fondo de maniobra;33209000;9498000;7323000;100924000;91300000;52770000;65238000;115524000;119941000;-297231000
Fondo de maniobra neto;206000;-2260000;-5727000;18680000;-34706000;-28326000;-21884000;-19783000;-25778000;-26183000
Capital total;60439000;73549000;264292000;683866000;1662722000;1937791000;2263388000;2255334000;2234973000;2241676000
Capital invertido;27436000;61791000;251242000;601622000;1536716000;1856695000;2176266000;2115085000;2088728000;2194079000
Capital empleado;63257000;77768000;275739000;729465000;1733375000;2038037000;2353381000;2322915000;2312143000;1986430000
Ventas;457714;6420000;14787000;44667000;116896000;204551000;274377000;307349000;306936000;265486000
Otras ventas;;;;;;;1982000;2157000;1581000;469000
Ventas totales;457714;6420000;14787000;44667000;116896000;204551000;276359000;309506000;308517000;265955000
Coste de ventas;-149143;-118000;-445000;-1315000;-4952000;-4443000;-10520000;-24893000;-28472000;-30177000
Coste de los bienes vendidos;-149143;-118000;-445000;-1315000;-4952000;-4443000;-10520000;-24893000;-28472000;-30177000
Beneficio bruto;308571;6302000;14342000;43352000;111944000;200108000;265839000;284613000;280045000;235778000
Gastos operativos totales;-1575429;-6412000;-9004000;-18417000;-42207000;-64737000;-96813000;-107546000;-107463000;-105795000
Gastos en VG&A;-1529143;-5497000;-6375000;-9818000;-14182000;-22961000;-35510000;-40352000;-36656000;-31727000
Gastos en D&A;-46286;-915000;-2629000;-8599000;-28025000;-41776000;-61303000;-67194000;-70807000;-74068000
Beneficio operativo;-1266857;-110000;5338000;24935000;69737000;135371000;169026000;177067000;172582000;129983000
Gastos no operativos totales;92571;151000;692000;-1460000;-4007000;-17689000;-15106000;-9021000;-6684000;-5875000
Gastos por intereses;;;;-6306000;-7431000;-18086000;-18301000;-17467000;-17672000;-20195000
Ingresos por int. e inversiones;92571;151000;692000;4846000;3424000;397000;3195000;8446000;10988000;14320000
EBT excluyendo ítems inusuales;-1174286;41000;6030000;23475000;65730000;117682000;153920000;168046000;165898000;124108000
Ítems inusuales totales;-6354858;-113000;955000;0;0;-3692000;466000;-2458000;-4237000;-5861000
Cargos de fusión y reestructuración;;-113000;;;;;;;;
Beneficios o pérdidas por venta de inversiones;;;955000;;;;;;;
Beneficios o pérdidas por venta de activos;;;;;;;3601000;;-3449000;-326000
Reducción de valor de activos;;;;;;;;;;-3527000
Acuerdos legales;;;;;;;-3010000;-2480000;-788000;-2008000
Otros ítems inusuales;-6354858;;;;;-3692000;-125000;22000;;
EBT incluyendo ítems inusuales;-7529144;-72000;6985000;23475000;65730000;113990000;154386000;165588000;161661000;118247000
Beneficios de operaciones continuas;-7529144;-72000;6985000;23475000;65730000;113990000;154386000;165588000;161661000;118247000
Beneficio neto total;-7529144;-72000;6985000;23475000;65730000;113990000;154386000;165588000;161661000;118247000
