Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP
Efectivo e inv. a CP, Total;181900000;166500000;116400000;119500000;141100000;175600000;137000000;206900000;227400000;203900000;265900000;321600000;299300000;343000000;329200000
Efectivo y equivalentes;181900000;166500000;116400000;119500000;141100000;175600000;137000000;206900000;227400000;203900000;265900000;321600000;299300000;343000000;329200000
Cuentas por cobrar, Total;371500000;415000000;440400000;442200000;487200000;555800000;628600000;667300000;679100000;606900000;637500000;710900000;701900000;736900000;740400000
Cuentas por cobrar;320600000;362200000;358500000;368100000;413700000;472800000;560000000;584900000;584700000;528700000;559000000;619600000;619900000;634200000;639700000
Otras cuentas por cobrar;50900000;52800000;81900000;74100000;73500000;83000000;68600000;82400000;94400000;78200000;78500000;91300000;82000000;102700000;100700000
Inventario;12300000;12300000;12200000;14700000;16100000;19100000;18300000;18300000;19200000;15500000;14900000;16900000;17200000;19000000;20100000
Gastos anticipados;71100000;87400000;87000000;97700000;111800000;118900000;30400000;36800000;34400000;38800000;45000000;47400000;53200000;60400000;73200000
Otros activos circ., Total;;;;700000;100000;100000;;;;;;;;;
Otros activos circulantes;;;;700000;100000;100000;;;;;;;;;
Activos circulantes;636800000;681200000;656000000;674800000;756300000;869500000;814300000;929300000;960100000;865100000;963300000;1096800000;1071600000;1159300000;1162900000
Inmovilizado material neto;265000000;302100000;337100000;363300000;365300000;443300000;420600000;441200000;644200000;585800000;641800000;694400000;669600000;692800000;760900000
Inmovilizado material bruto;601500000;679100000;747800000;837500000;934600000;1177900000;1182000000;1281900000;1764300000;1689800000;1752200000;1944500000;1908700000;1963400000;2043200000
Depreciación acumulada;-336500000;-377000000;-410700000;-474200000;-569300000;-734600000;-761400000;-840700000;-1120100000;-1104000000;-1110400000;-1250100000;-1239100000;-1270600000;-1282300000
Fondo de comercio;637000000;668500000;736800000;779900000;471100000;586100000;579600000;874900000;859800000;835900000;1241400000;1418400000;1385800000;1365900000;1422300000
Otros activos intangibles;169500000;154500000;170500000;174900000;160400000;198800000;178200000;329500000;302400000;279700000;358500000;362900000;330900000;304200000;329400000
Inversiones a largo plazo;700000;700000;1400000;1400000;300000;300000;300000;300000;;;;;;;
Otros activos, Total;27600000;28300000;28300000;24600000;42700000;48300000;59400000;58400000;51900000;48600000;44700000;87800000;80000000;77100000;86000000
Cuentas por cobrar (LP);;;;;;;;;;;;13100000;13900000;7500000;7400000
Impuesto diferido (LP);27600000;28300000;28300000;24600000;42700000;48300000;59400000;58400000;51900000;48600000;39300000;45000000;36400000;34500000;34800000
Otros activos;;;;;;;;;;;5400000;29700000;29700000;35100000;43800000
Activos no circulantes;1099800000;1154100000;1274100000;1344100000;1039800000;1276800000;1238100000;1704300000;1858300000;1750000000;2286400000;2563500000;2466300000;2440000000;2598600000
Activos totales;1736600000;1835300000;1930100000;2018900000;1796100000;2146300000;2052400000;2633600000;2818400000;2615100000;3249700000;3660300000;3537900000;3599300000;3761500000
Cuentas por pagar;52700000;50100000;48200000;42500000;64700000;107300000;126700000;154000000;163800000;142000000;153400000;172100000;204800000;223000000;229700000
Gastos devengados;198200000;216900000;215500000;226300000;250300000;274000000;227100000;240000000;240600000;248100000;296200000;308400000;305500000;318900000;303500000
Préstamos a corto plazo;;;;;25100000;16800000;1100000;3700000;14400000;20500000;1900000;900000;700000;6500000;4600000
Parte circ. de la deuda;38700000;800000;15400000;89800000;96700000;86600000;76000000;134600000;224500000;10500000;460100000;261500000;96800000;94800000;159000000
Parte circ. arrendamientos;;;;;;;;;61700000;61400000;63500000;70600000;69900000;70100000;70300000
Otros pasivos circulantes, Total;105800000;138300000;120800000;109800000;124900000;115300000;177400000;210400000;195000000;268700000;290500000;329500000;303800000;336800000;307200000
Impuestos (CP);44100000;54200000;57900000;53400000;52600000;55800000;46800000;62500000;57200000;53800000;59100000;71000000;60500000;67200000;49700000
Ingresos no devengados (CP);;;;;;;52900000;63800000;74600000;103200000;134800000;156800000;148500000;136700000;146400000
Otros pasivos circulantes;61700000;84100000;62900000;56400000;72300000;59500000;77700000;84100000;63200000;111700000;96600000;101700000;94800000;132900000;111100000
Pasivos circulantes;395400000;406100000;399900000;468400000;561700000;600000000;608300000;742700000;900000000;751200000;1265600000;1143000000;981500000;1050100000;1074300000
Deuda a largo plazo;723900000;716400000;719200000;663200000;794700000;815900000;604000000;846800000;617900000;592800000;537200000;797100000;812400000;741500000;1162400000
Arrendamientos financieros (LP);;;;;;;;;184300000;162800000;228800000;251600000;237900000;229500000;251900000
Otros pasivos, Total;70800000;57900000;54300000;80600000;100300000;128000000;95900000;135800000;130900000;105300000;103800000;150600000;146000000;133300000;145400000
Ingresos no devengados (LP);;;;;;;500000;5600000;5400000;2600000;6100000;6600000;6400000;22000000;9500000
Impuestos diferidos (LP);49200000;32800000;34100000;35200000;51700000;48700000;47400000;80800000;68200000;59700000;67400000;99200000;75300000;69900000;96500000
