Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;30/06/2011;30/06/2012;30/06/2013;30/06/2014;30/06/2015;30/06/2016;30/06/2017;30/06/2018;30/06/2019;30/06/2020;30/06/2021;30/06/2022;30/06/2023;30/06/2024;30/06/2025
Divisa;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD
Efectivo e inv. a CP, Total;11770674;21686797;24460703;25366357;23778000;25306000;43320000;47919000;84583000;72259000;63139000;68930000;54507000;78439000;79886000
Efectivo y equivalentes;11770674;21686797;24460703;25366357;23778000;25306000;43320000;47919000;84583000;72259000;63139000;68930000;54507000;68979000;79886000
Inversiones a corto plazo;;;;;;;;;;;;;;9460000;
Cuentas por cobrar, Total;723974;629839;297891;444173;326000;392000;365000;280000;422000;471000;1063000;2124000;5136000;5046000;5581000
Cuentas por cobrar;129488;163678;194755;125792;103000;121000;95000;52000;190000;311000;845000;1331000;4849000;4572000;4608000
Otras cuentas por cobrar;594486;466161;103136;318381;223000;271000;170000;228000;232000;160000;218000;793000;287000;474000;973000
Títulos por cobrar;;;;;;;100000;;;;;;;;
Inventario;39894;98625;55098;49404;63000;62000;62000;57000;31000;31000;16000;31000;29000;89000;15000
Gastos anticipados;128689;155124;121026;195561;168000;176000;183000;229000;500000;1490000;2494000;3941000;2910000;2506000;1867000
Otros activos circ., Total;;;;;;;;;;1757000;1807000;;8411000;3496000;331000
Otros activos circulantes;;;;;;;;;;1757000;1807000;;8411000;3496000;331000
Activos circulantes;12663231;22570385;24934718;26055495;24335000;25936000;43930000;48485000;85536000;76008000;68519000;75026000;70993000;89576000;87680000
Inmovilizado material neto;460368;360372;366059;318062;486000;401000;341000;280000;451000;5670000;4227000;3559000;3848000;2851000;15493000
Inmovilizado material bruto;1108955;1167557;1359602;1438230;1802000;1905000;1958000;2053000;2402000;8905000;8564000;9841000;11737000;12343000;18313000
Depreciación acumulada;-648587;-807185;-993543;-1120168;-1316000;-1504000;-1617000;-1773000;-1951000;-3235000;-4337000;-6282000;-7889000;-9492000;-2820000
Fondo de comercio;2831550;2831550;2831550;2831550;2832000;2832000;2832000;2832000;2832000;9102000;9278000;13805000;30572000;30957000;33307000
Otros activos intangibles;2876806;3567157;3482754;4761144;6530000;7887000;8742000;10281000;11851000;15722000;30202000;37000000;50845000;46453000;43330000
Inversiones a largo plazo;;;2530055;1;413000;;;;;;;;;;
Otros activos, Total;696586;394334;589250;636729;717000;1176000;908000;1046000;992000;3026000;1547000;1828000;;;
Préstamos por cobrar (LP);;;;;;100000;;;;;;;;;
Impuesto diferido (LP);696586;394334;395562;514784;717000;1076000;908000;1046000;992000;1265000;1547000;1828000;;;
Otros activos;;;193688;121945;;;;;;1761000;;;;;
Activos no circulantes;6865310;7153413;9799668;8547486;10978000;12296000;12823000;14439000;16126000;33520000;45254000;56192000;85265000;80261000;92130000
Activos totales;19528541;29723798;34734386;34602981;35313000;38232000;56753000;62924000;101662000;109528000;113773000;131218000;156258000;169837000;179810000
Cuentas por pagar;915382;1534138;2390179;2060739;1185000;1020000;1029000;1234000;7260000;1341000;1785000;1891000;2483000;3103000;7497000
Gastos devengados;661137;946233;1193385;1345825;1433000;1289000;1466000;1616000;1902000;2897000;3063000;3044000;5041000;4561000;4576000
Préstamos a corto plazo;110061;;;;;;;;;;;;;625000;
Parte circ. de la deuda;666667;166666;;;;;;;;;;;;;
Parte circ. arrendamientos;34748;28014;;;;;;;;990000;1013000;1022000;1355000;1357000;1047000
Otros pasivos circulantes, Total;5672423;8208999;10036097;8788211;10775000;10908000;10991000;12399000;14504000;18346000;17387000;22846000;35983000;37504000;23923000
Impuestos (CP);;;752946;1555902;1458000;697000;184000;594000;1258000;1235000;433000;613000;2599000;3274000;1003000
Otros pasivos circulantes;5672423;8208999;9283151;7232309;9317000;10211000;10807000;11805000;13246000;17111000;16954000;22233000;33384000;34230000;22920000
Pasivos circulantes;8060418;10884050;13619661;12194775;13393000;13217000;13486000;15249000;23666000;23574000;23248000;28803000;44862000;47150000;37043000
Deuda a largo plazo;1041666;250000;;;;;;;;;;;;;
Arrendamientos financieros (LP);28014;;;;;;;;;4395000;3120000;2181000;2491000;1120000;13624000
