Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;27/04/2011;29/04/2012;29/12/2013;28/12/2014;03/01/2016;31/12/2016;30/12/2017;29/12/2018;28/12/2019;26/12/2020;25/12/2021;31/12/2022;30/12/2023;28/12/2024;27/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Efectivo e inv. a CP, Total;763014000;1355514000;2459000000;2298000000;4837000000;4204000000;1629000000;1130000000;2279000000;3417000000;3445000000;1040000000;1400000000;1334000000;3675000000
Efectivo y equivalentes;724311000;1330441000;2459000000;2298000000;4837000000;4204000000;1629000000;1130000000;2279000000;3417000000;3445000000;1040000000;1400000000;1334000000;2615000000
Inversiones a corto plazo;;;;;;;;;;;;;;;1060000000
Valores negociables;38703000;25073000;;;;;;;;;;;;;
Cuentas por cobrar, Total;1188861000;946078000;1299000000;851000000;1454000000;1158000000;1812000000;2281000000;1973000000;2063000000;1957000000;2120000000;2112000000;2147000000;2254000000
Cuentas por cobrar;1039064000;815600000;1100000000;851000000;1454000000;898000000;1274000000;2129000000;1973000000;2063000000;1957000000;2120000000;2112000000;2147000000;2254000000
Otras cuentas por cobrar;149797000;130478000;199000000;;;260000000;538000000;152000000;;;;;;;
Inventario;1451546000;1329351000;1435000000;1185000000;2618000000;2684000000;2760000000;2667000000;2721000000;2773000000;2729000000;3651000000;3614000000;3376000000;3167000000
Gastos anticipados;159521000;174795000;145000000;;;;345000000;400000000;384000000;132000000;136000000;240000000;234000000;215000000;291000000
Otros activos circ., Total;190600000;76498000;106000000;581000000;871000000;707000000;655000000;2597000000;740000000;2437000000;727000000;846000000;569000000;583000000;740000000
Efectivo restringido;;;;;;42000000;140000000;1000000;1000000;;;;3000000;31000000;164000000
Otros activos circulantes;190600000;76498000;106000000;581000000;871000000;665000000;515000000;2596000000;739000000;2437000000;727000000;846000000;566000000;552000000;576000000
Activos circulantes;3753542000;3882236000;5444000000;4915000000;9780000000;8753000000;7201000000;9075000000;8097000000;10822000000;8994000000;7897000000;7929000000;7655000000;10127000000
Inmovilizado material neto;2505083000;2484138000;2663000000;2365000000;6524000000;6688000000;7061000000;7078000000;7597000000;7438000000;7375000000;7408000000;7696000000;7691000000;7838000000
Inmovilizado material bruto;5224715000;5266561000;2829000000;2796000000;7430000000;8518000000;9150000000;9662000000;10784000000;11001000000;11243000000;11620000000;12499000000;12428000000;13155000000
Depreciación acumulada;-2719632000;-2782423000;-166000000;-431000000;-906000000;-1830000000;-2089000000;-2584000000;-3187000000;-3563000000;-3868000000;-4212000000;-4803000000;-4737000000;-5317000000
Fondo de comercio;3298441000;3185527000;15070000000;14959000000;43051000000;44125000000;44825000000;36503000000;35546000000;33089000000;31296000000;30833000000;30459000000;28673000000;22179000000
Otros activos intangibles;1598784000;1498694000;14490000000;13188000000;62120000000;59297000000;59432000000;49468000000;48652000000;46667000000;43542000000;42649000000;42448000000;40099000000;37529000000
Inversiones a largo plazo;31621000;34601000;265000000;;;;;;;;;;;;
Otros activos, Total;1043174000;898097000;1040000000;1144000000;1498000000;1617000000;1573000000;1337000000;1558000000;1814000000;2187000000;1726000000;1807000000;4169000000;4113000000
Otros activos;1043174000;898097000;1040000000;1144000000;1498000000;1617000000;1573000000;1337000000;1558000000;1814000000;2187000000;1726000000;1807000000;4169000000;4113000000
Activos no circulantes;8477103000;8101057000;33528000000;31656000000;1.13193E+11;1.11727E+11;1.12891E+11;94386000000;93353000000;89008000000;84400000000;82616000000;82410000000;80632000000;71659000000
Activos totales;12230645000;11983293000;38972000000;36571000000;1.22973E+11;1.2048E+11;1.20092E+11;1.03461E+11;1.0145E+11;99830000000;93394000000;90513000000;90339000000;88287000000;81786000000
Cuentas por pagar;1337620000;1202398000;1192000000;1651000000;2844000000;3996000000;4362000000;4153000000;4003000000;4304000000;4753000000;4848000000;4627000000;4188000000;4308000000
Gastos devengados;1028536000;896301000;1023000000;479000000;1585000000;1321000000;1159000000;1148000000;1050000000;1318000000;1085000000;1024000000;1002000000;971000000;1108000000
Préstamos a corto plazo;87.800.000;46.460.000;144.000.000;;4000000;645000000;462000000;288.000.000;259000000;242000000;229000000;93000000;;;
Parte circ. de la deuda;1.453.257.000;203.008.000;108.000.000;11.000.000;79000000;2.046.000.000;2733000000;377.000.000;994.000.000;152.000.000;710.000.000;805.000.000;611.000.000;629.000.000;1.878.000.000
Parte circ. arrendamientos;;;;;;;;;175000000;213000000;163000000;151000000;143000000;142000000;156000000
Otros pasivos circulantes, Total;254247000;299794000;458000000;951000000;2420000000;1493000000;1438000000;1537000000;1394000000;1832000000;2124000000;2107000000;1654000000;1323000000;1328000000
Impuestos (CP);98325000;101540000;202000000;232000000;417000000;255000000;;;;114000000;541000000;;;;
Ingresos no devengados (CP);;;;;;;;;;;;;55000000;54000000;54000000
Otros pasivos circulantes;155922000;198254000;256000000;719000000;2003000000;1238000000;1438000000;1537000000;1394000000;1718000000;1583000000;2107000000;1599000000;1269000000;1274000000
Pasivos circulantes;4161460000;2647961000;2925000000;3092000000;6932000000;9501000000;10154000000;7503000000;7875000000;8061000000;9064000000;9028000000;8037000000;7253000000;8778000000
Deuda a largo plazo;3078128000;4779981000;14618000000;13358000000;25151000000;29713000000;28224000000;30770000000;28058000000;27954000000;20963000000;19140000000;19276000000;19089000000;19181000000
Arrendamientos financieros (LP);;;;;;;84000000;;612000000;591000000;582000000;678000000;619000000;590000000;557000000
Otros pasivos, Total;1683922000;1630770000;4887000000;4436000000;24654000000;23692000000;15554000000;13410000000;13156000000;12981000000;13333000000;12797000000;12685000000;12030000000;11481000000
Ingresos no devengados (LP);;;;;;;;;;6000000;1534000000;1477000000;1424000000;1374000000;1321000000
Impuestos diferidos (LP);897179000;817928000;4161000000;3867000000;21497000000;20848000000;14039000000;12202000000;11878000000;11462000000;10536000000;10152000000;10201000000;9679000000;9022000000
Pensión y otros beneficios;332616000;404890000;196000000;287000000;2405000000;2038000000;427000000;306000000;273000000;243000000;205000000;144000000;143000000;135000000;131000000
Otros pasivos;454127000;407952000;530000000;282000000;752000000;806000000;1088000000;902000000;1005000000;1270000000;1058000000;1024000000;917000000;842000000;1007000000
Pasivos no circulantes;4762050000;6410751000;19505000000;17794000000;49805000000;53405000000;43862000000;44180000000;41826000000;41526000000;34878000000;32615000000;32580000000;31709000000;31219000000
Pasivos totales;8923510000;9058712000;22430000000;20886000000;56737000000;62906000000;54016000000;51683000000;49701000000;49587000000;43942000000;41643000000;40617000000;38962000000;39997000000
Patrimonio preferente, Total;69000;61000;8320000000;8320000000;8320000000;;;;;;;;;;
Acciones preferentes redimibles;;;8320000000;8320000000;8320000000;;;;;;;;;;
Acciones preferentes convertibles;69000;61000;;;;;;;;;;;;;
Patrimonio ordinario, Total;3108893000;2758528000;7976000000;7117000000;57685000000;57358000000;65863000000;51657000000;51623000000;50103000000;49298000000;48678000000;49526000000;49185000000;41664000000
Acciones ordinarias;107774000;107774000;9000000;4000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000
Capital desembolsado adicional;629367000;594608000;7445000000;7320000000;58375000000;58593000000;58634000000;58723000000;56828000000;55096000000;53379000000;51834000000;52037000000;52135000000;51287000000
Beneficio no distribuido;7264678000;7567278000;-77000000;;;588000000;8495000000;-4853000000;-3060000000;-2694000000;-1682000000;489000000;1367000000;2171000000;-4629000000
Autocartera;-4593362000;-4666404000;;;-31000000;-207000000;-224000000;-282000000;-271000000;-344000000;-587000000;-847000000;-1286000000;-2218000000;-2636000000
Resultado global y otros;-299564000;-844728000;599000000;-207000000;-671000000;-1628000000;-1054000000;-1943000000;-1886000000;-1967000000;-1824000000;-2810000000;-2604000000;-2915000000;-2370000000
Intereses minoritarios;198173000;165992000;246000000;248000000;231000000;216000000;213000000;121000000;126000000;140000000;154000000;192000000;196000000;140000000;125000000
Patrimonio neto;3307135000;2924581000;16542000000;15685000000;66236000000;57574000000;66076000000;51778000000;51749000000;50243000000;49452000000;48870000000;49722000000;49325000000;41789000000
Total pasivos y patrimonio neto;12230645000;11983293000;38972000000;36571000000;1.22973E+11;1.2048E+11;1.20092E+11;1.03461E+11;1.0145E+11;99830000000;93394000000;90513000000;90339000000;88287000000;81786000000
Valor en libros tangible;-1788332000;-1925693000;-21584000000;-21030000000;-47486000000;-46064000000;-38394000000;-34314000000;-32575000000;-29653000000;-25540000000;-24804000000;-23381000000;-19587000000;-18044000000
Deuda total;4619185000;5029449000;14870000000;13369000000;25234000000;32404000000;31503000000;31435000000;30098000000;29152000000;22647000000;20867000000;20649000000;20450000000;21772000000
Deuda neta;3856171000;3673935000;12411000000;11071000000;20397000000;28200000000;29874000000;30305000000;27819000000;25735000000;19202000000;19827000000;19249000000;19116000000;18097000000
Fondo de maniobra;-407918000;1234275000;2519000000;1823000000;2848000000;-748000000;-2953000000;1572000000;222000000;2761000000;-70000000;-1131000000;-108000000;402000000;1349000000
Fondo de maniobra neto;370125000;128229000;312000000;-464000000;-1906000000;-2261000000;-1387000000;1107000000;-629000000;-49000000;-2413000000;-1122000000;-754000000;-161000000;-292000000
Capital total;7926320000;7954030000;31412000000;29054000000;91470000000;89978000000;97579000000;83213000000;81847000000;79395000000;72099000000;69737000000;70371000000;69775000000;63561000000
Capital invertido;7163306000;6598516000;28953000000;26756000000;86633000000;85774000000;95950000000;82083000000;79568000000;75978000000;68654000000;68697000000;68971000000;68441000000;59886000000
Capital empleado;8069185000;9335332000;36047000000;33479000000;1.16041E+11;1.10979E+11;1.09938E+11;95958000000;93575000000;91769000000;84330000000;81485000000;82302000000;81034000000;73008000000
Ventas;10558636000;11508000000;11029500000;10922000000;18338000000;26300000000;26076000000;26268000000;24977000000;26185000000;26042000000;26485000000;26640000000;25846000000;24942000000
Ventas totales;10558636000;11508000000;11029500000;10922000000;18338000000;26300000000;26076000000;26268000000;24977000000;26185000000;26042000000;26485000000;26640000000;25846000000;24942000000
Coste de ventas;-6614259000;-7383062000;-7714500000;-7110000000;-11771000000;-16399000000;-16579000000;-17195000000;-16782000000;-17028000000;-17347000000;-18250000000;-17657000000;-16870000000;-16632000000
Coste de los bienes vendidos;-6614259000;-7383062000;-7714500000;-7110000000;-11771000000;-16399000000;-16579000000;-17195000000;-16782000000;-17028000000;-17347000000;-18250000000;-17657000000;-16870000000;-16632000000
Beneficio bruto;3944377000;4124938000;3315000000;3812000000;6567000000;9901000000;9497000000;9073000000;8195000000;9157000000;8695000000;8235000000;8983000000;8976000000;8310000000
Gastos operativos totales;-2256739000;-2416520000;-2101500000;-1212000000;-2257000000;-3053000000;-2172000000;-2713000000;-2627000000;-3284000000;-3235000000;-3169000000;-3578000000;-3457000000;-3551000000
Gastos en VG&A;-2256739000;-2416520000;-2101500000;-1212000000;-2152000000;-2933000000;-2079000000;-2604000000;-2515000000;-3165000000;-3235000000;-3169000000;-3578000000;-3457000000;-3384000000
Gastos de I+D;;;;;-105000000;-120000000;-93000000;-109000000;-112000000;-119000000;;;;;-167000000
Beneficio operativo;1687638000;1708418000;1213500000;2600000000;4310000000;6848000000;7325000000;6360000000;5568000000;5873000000;5460000000;5066000000;5405000000;5519000000;4759000000
Gastos no operativos totales;-271316000;-266000000;-672000000;-765000000;-1143000000;-772000000;-1356000000;-1129000000;-1324000000;-1418000000;-2016000000;-880000000;-887000000;-893000000;-835000000
Gastos por intereses;-299141000;-303000000;-681000000;-686000000;-1321000000;-1134000000;-1234000000;-1284000000;-1361000000;-1394000000;-2047000000;-921000000;-912000000;-912000000;-947000000
Ingresos por int. e inversiones;22548000;35000000;;;;;43000000;35000000;36000000;27000000;15000000;27000000;40000000;69000000;122000000
Otros ingresos y gastos no operativos;5277000;2000000;9000000;-79000000;178000000;362000000;-165000000;120000000;1000000;-51000000;16000000;14000000;-15000000;-50000000;-10000000
