Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Efectivo e inv. a CP, Total;1065000000;2732000000;4450000000;2630000000;1994000000;2022000000;2850000000;1257000000;1076000000;2465000000;1488000000;2167000000;3428000000;3375000000;3443000000
Efectivo y equivalentes;1065000000;2732000000;4450000000;1031000000;924000000;875000000;1523000000;332000000;858000000;1763000000;1472000000;2151000000;3390000000;3375000000;3443000000
Inversiones a corto plazo;;;;1593000000;1064000000;1147000000;1307000000;892000000;196000000;702000000;9000000;;;;
Valores negociables;;;;6000000;6000000;;20000000;33000000;22000000;;7000000;16000000;38000000;;
Cuentas por cobrar, Total;4526000000;4191000000;4484000000;4000000000;3234000000;3388000000;4322000000;4434000000;3455000000;4489000000;5212000000;4081000000;3989000000;3550000000;2517000000
Cuentas por cobrar;3778000000;3904000000;4030000000;3448000000;2517000000;2842000000;3539000000;3503000000;3102000000;3441000000;4808000000;3593000000;3507000000;3292000000;2517000000
Otras cuentas por cobrar;748000000;287000000;454000000;202000000;428000000;177000000;213000000;387000000;353000000;1048000000;404000000;488000000;482000000;258000000;
Títulos por cobrar;;;;350000000;289000000;369000000;570000000;544000000;;;;;;;
Inventario;5499000000;5075000000;5279000000;4517000000;4051000000;3809000000;4217000000;4515000000;4588000000;4344000000;4901000000;4804000000;4765000000;4658000000;3533000000
Gastos anticipados;160000000;69000000;66000000;58000000;45000000;37000000;25000000;25000000;26000000;28000000;33000000;30000000;36000000;36000000;612000000
Otros activos circ., Total;185000000;219000000;320000000;440000000;465000000;343000000;324000000;335000000;365000000;308000000;583000000;763000000;934000000;647000000;763000000
Efectivo restringido;53000000;5000000;10000000;2000000;7000000;3000000;5000000;69000000;30000000;2000000;5000000;5000000;15000000;13000000;6000000
Impuesto diferido (CP);29000000;46000000;24000000;67000000;;;;;;;;;;;
Otros activos circulantes;103000000;168000000;286000000;371000000;458000000;340000000;319000000;266000000;335000000;306000000;578000000;758000000;919000000;634000000;757000000
Activos circulantes;11435000000;12286000000;14599000000;11645000000;9789000000;9599000000;11738000000;10566000000;9510000000;11634000000;12217000000;11845000000;13152000000;12266000000;10868000000
Inmovilizado material neto;7333000000;7696000000;8457000000;8758000000;8991000000;10137000000;10997000000;12477000000;15598000000;15878000000;16502000000;17112000000;17076000000;16533000000;17347000000
Inmovilizado material bruto;8444000000;9626000000;11151000000;12050000000;12910000000;14635000000;16570000000;18701000000;22728000000;22976000000;24328000000;25449000000;26435000000;25641000000;
Depreciación acumulada;-1111000000;-1930000000;-2694000000;-3292000000;-3919000000;-4498000000;-5573000000;-6224000000;-7130000000;-7098000000;-7826000000;-8337000000;-9359000000;-9108000000;
Fondo de comercio;585000000;591000000;605000000;566000000;536000000;528000000;570000000;1814000000;1891000000;1953000000;1875000000;1827000000;1647000000;1561000000;708000000
Otros activos intangibles;1177000000;1038000000;904000000;769000000;640000000;550000000;568000000;965000000;869000000;751000000;695000000;662000000;641000000;577000000;450000000
Inversiones a largo plazo;2043000000;2363000000;2114000000;2074000000;2056000000;2021000000;2073000000;2104000000;2147000000;4731000000;4787000000;4320000000;3907000000;4121000000;3963000000
Otros activos, Total;266000000;246000000;619000000;409000000;745000000;607000000;260000000;352000000;420000000;456000000;666000000;599000000;577000000;688000000;667000000
Préstamos por cobrar (LP);;;;;98000000;;;;;;;;;;
Impuesto diferido (LP);20000000;44000000;357000000;271000000;205000000;192000000;90000000;31000000;38000000;39000000;174000000;157000000;196000000;259000000;
Cargos diferidos (LP);102000000;98000000;103000000;27000000;23000000;19000000;15000000;12000000;11000000;10000000;;;;;
Otros activos;144000000;104000000;159000000;111000000;419000000;396000000;155000000;309000000;371000000;407000000;492000000;442000000;381000000;429000000;667000000
