Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/03/2011;31/03/2012;31/03/2013;31/03/2014;31/03/2015;31/03/2016;31/03/2017;31/03/2018;31/03/2019;31/03/2020;31/03/2021;31/03/2022;31/03/2023;31/03/2024;31/03/2025
Divisa;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP
Efectivo e inv. a CP, Total;24728000;24572000;29068000;27182000;30721000;34846000;37257000;22763000;23759000;22445000;20039000;17258000;14551000;17548000;13382000
Efectivo y equivalentes;24728000;24572000;29025000;11503000;12010000;21720000;19120000;12498000;12966000;14294000;6847000;3345000;9948000;9221000;11798000
Inversiones a corto plazo;;;;15488000;18100000;13020000;18102000;10198000;10735000;7958000;12932000;13913000;4549000;8264000;1500000
Valores negociables;;;43000;191000;611000;106000;35000;67000;58000;193000;260000;;54000;63000;84000
Cuentas por cobrar, Total;6268000;4484000;4865000;5000000;5800000;5107000;6051000;5917000;6650000;7764000;7026000;8753000;12613000;11779000;13006000
Cuentas por cobrar;6264000;4268000;4825000;4431000;4648000;4027000;5937000;5279000;4654000;5192000;6519000;8231000;10185000;9149000;8885000
Otras cuentas por cobrar;4000;216000;40000;569000;1152000;1080000;114000;638000;1996000;2572000;507000;522000;2428000;2630000;4121000
Gastos anticipados;636000;586000;704000;646000;524000;588000;921000;858000;912000;940000;980000;1130000;1760000;1243000;1012000
Otros activos circ., Total;3022000;1108000;;7000;8000;;18000;199000;106000;;;;;;
Otros activos circulantes;3022000;1108000;;7000;8000;;18000;199000;106000;;;;;;
Activos circulantes;34654000;30750000;34637000;32835000;37053000;40541000;44247000;29737000;31427000;31149000;28045000;27141000;28924000;30570000;27400000
Inmovilizado material neto;227000;183000;140000;86000;129000;81000;881000;910000;761000;1926000;1367000;1822000;1388000;367000;9154000
Inmovilizado material bruto;1700000;1519000;1525000;1527000;1462000;1320000;1481000;1656000;1728000;3146000;2665000;3463000;3041000;2233000;11230000
Depreciación acumulada;-1473000;-1336000;-1385000;-1441000;-1333000;-1239000;-600000;-746000;-967000;-1220000;-1298000;-1641000;-1653000;-1866000;-2076000
Otros activos intangibles;1085000;1140000;963000;734000;504000;299000;245000;228000;288000;470000;420000;562000;1390000;11000;358000
Inversiones a largo plazo;;;;2754000;2567000;;;1115000;1112000;2472000;3046000;3447000;4901000;4949000;4123000
Otros activos, Total;70000;;5000;158000;73000;43000;102000;86000;;;212000;253000;134000;168000;1365000
Impuesto diferido (LP);70000;;5000;158000;73000;43000;102000;86000;;;212000;253000;134000;168000;1365000
Activos no circulantes;1382000;1323000;1108000;3732000;3273000;423000;1228000;2339000;2161000;4868000;5045000;6084000;7813000;5495000;15000000
Activos totales;36036000;32073000;35745000;36567000;40326000;40964000;45475000;32076000;33588000;36017000;33090000;33225000;36737000;36065000;42400000
Cuentas por pagar;580000;196000;277000;304000;181000;171000;418000;325000;294000;425000;384000;478000;221000;212000;717000
Gastos devengados;3230000;2163000;2394000;2401000;2767000;2199000;2513000;2301000;2438000;2573000;3026000;4227000;5790000;4675000;5022000
Parte circ. arrendamientos;;;;;;;;;;544000;539000;366000;285000;106000;263000
Otros pasivos circulantes, Total;2128000;1083000;786000;955000;1574000;886000;5713000;2899000;3426000;3413000;2043000;1139000;1334000;2039000;237000
Impuestos (CP);1837000;900000;760000;832000;893000;776000;804000;399000;692000;601000;315000;924000;1329000;1865000;51000
Otros pasivos circulantes;291000;183000;26000;123000;681000;110000;4909000;2500000;2734000;2812000;1728000;215000;5000;174000;186000
Pasivos circulantes;5938000;3442000;3457000;3660000;4522000;3256000;8644000;5525000;6158000;6955000;5992000;6210000;7630000;7032000;6239000
Arrendamientos financieros (LP);;;;;;;;;;615000;99000;960000;694000;79000;6842000
Otros pasivos, Total;;15000;;;;;;;29000;286000;200000;125000;122000;;250000
Impuestos diferidos (LP);;15000;;;;;;;29000;86000;;;;;
Otros pasivos;;;;;;;;;;200000;200000;125000;122000;;250000
Pasivos no circulantes;0;15000;0;0;0;0;0;0;29000;901000;299000;1085000;816000;79000;7092000
Pasivos totales;5938000;3457000;3457000;3660000;4522000;3256000;8644000;5525000;6187000;7856000;6291000;7295000;8446000;7111000;13331000
Patrimonio ordinario, Total;29146000;26353000;28642000;29240000;31928000;33689000;36831000;26551000;27341000;28029000;26799000;25930000;28291000;28949000;29060000
Acciones ordinarias;55000;55000;55000;55000;55000;55000;55000;50000;50000;50000;50000;50000;50000;50000;50000
Capital desembolsado adicional;1809000;1809000;1838000;1838000;1847000;1899000;1971000;2237000;2243000;2259000;2418000;1809000;1809000;1809000;1809000
Beneficio no distribuido;27262000;24469000;26729000;27327000;30006000;31715000;34785000;24238000;25022000;25694000;24305000;24045000;26406000;27051000;27131000
Resultado global y otros;20000;20000;20000;20000;20000;20000;20000;26000;26000;26000;26000;26000;26000;39000;70000
Intereses minoritarios;952000;2263000;3646000;3667000;3876000;4019000;;;60000;132000;;;;5000;9000
Patrimonio neto;30098000;28616000;32288000;32907000;35804000;37708000;36831000;26551000;27401000;28161000;26799000;25930000;28291000;28954000;29069000
Total pasivos y patrimonio neto;36036000;32073000;35745000;36567000;40326000;40964000;45475000;32076000;33588000;36017000;33090000;33225000;36737000;36065000;42400000
Valor en libros tangible;28061000;25213000;27679000;28506000;31424000;33390000;36586000;26323000;27053000;27559000;26379000;25368000;26901000;28938000;28702000
Deuda total;0;0;0;0;0;0;0;0;0;1159000;638000;1326000;979000;185000;7105000
Deuda neta;-24728000;-24572000;-29068000;-27182000;-30721000;-34846000;-37257000;-22763000;-23759000;-21286000;-19401000;-15932000;-13572000;-17363000;-6277000
Fondo de maniobra;28716000;27308000;31180000;29175000;32531000;37285000;35603000;24212000;25269000;24194000;22053000;20931000;21294000;23538000;21161000
Fondo de maniobra neto;3988000;2736000;2112000;1993000;1810000;2439000;-1654000;1449000;1510000;2293000;2553000;4039000;7028000;6096000;8042000
Capital total;30098000;28616000;32288000;32907000;35804000;37708000;36831000;26551000;27401000;29320000;27437000;27256000;29270000;29139000;36174000
Capital invertido;5370000;4044000;3220000;5725000;5083000;2862000;-426000;3788000;3642000;6875000;7398000;9998000;14719000;11591000;22792000
Capital empleado;30098000;28631000;32288000;32907000;35804000;37708000;36831000;26551000;27430000;29062000;27098000;27015000;29107000;29033000;36161000
Ventas;28196000;20535000;18552000;19922000;21057000;21134000;22952000;23834000;24973000;25563000;25412000;35152000;44689000;45378000;41615000
Ventas totales;28196000;20535000;18552000;19922000;21057000;21134000;22952000;23834000;24973000;25563000;25412000;35152000;44689000;45378000;41615000
Coste de ventas;-102000;-252000;-221000;-86000;-148000;-221000;-298000;-311000;-385000;-255000;-399000;-219000;-37000;-82000;-472000
Coste de los bienes vendidos;-102000;-252000;-221000;-86000;-148000;-221000;-298000;-311000;-385000;-255000;-399000;-219000;-37000;-82000;-472000
