Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Efectivo e inv. a CP, Total;279336000;287635000;275764000;287119000;224577000;260201000;294753000;276579000;270478000;574426000;619001000;658626000;731740000;537583000;464435000
Efectivo y equivalentes;279336000;287635000;275764000;287119000;224577000;260201000;294753000;276579000;270478000;574426000;619001000;658626000;731740000;537583000;464435000
Cuentas por cobrar, Total;493327000;512852000;551905000;657676000;704640000;703228000;732405000;794446000;832797000;714163000;984691000;1018287000;860872000;772285000;748457000
Cuentas por cobrar;493327000;512852000;551905000;657676000;704640000;703228000;732405000;794446000;832797000;714163000;984691000;1018287000;860872000;772285000;748457000
Gastos anticipados;;;;;;;;52887000;84364000;56157000;69526000;69394000;67999000;64185000;55899000
Otros activos circ., Total;234015000;264198000;344859000;378488000;268780000;320805000;404711000;349698000;441210000;497992000;595329000;538805000;636528000;755369000;850231000
Impuesto diferido (CP);88578000;102993000;112881000;133151000;;;;;;;;;;;
Otros activos circulantes;145437000;161205000;231978000;245337000;268780000;320805000;404711000;349698000;441210000;497992000;595329000;538805000;636528000;755369000;850231000
Activos circulantes;1006678000;1064685000;1172528000;1323283000;1197997000;1284234000;1431869000;1473610000;1628849000;1842738000;2268547000;2285112000;2297139000;2129422000;2119022000
Inmovilizado material neto;107972000;107680000;112644000;121754000;142906000;161509000;144887000;125176000;369414000;372505000;322196000;311685000;318065000;317948000;331864000
Inmovilizado material bruto;610494000;651815000;678855000;700366000;726567000;789242000;809371000;834232000;936037000;928372000;890511000;850383000;866778000;850905000;840414000
Depreciación acumulada;-502522000;-544135000;-566211000;-578612000;-583661000;-627733000;-664484000;-709056000;-566623000;-555867000;-568315000;-538698000;-548713000;-532957000;-508550000
Fondo de comercio;189423000;201339000;200833000;199488000;208579000;209793000;210885000;209958000;210364000;223055000;222855000;237810000;237970000;237180000;251469000
Otros activos intangibles;50000;2256000;556000;;4508000;3671000;4946000;3149000;1752000;5594000;3334000;5317000;2433000;1218000;1840000
Otros activos, Total;7713000;5311000;3710000;2742000;117054000;118764000;74867000;91204000;101029000;113532000;135427000;124564000;155182000;168637000;152081000
Impuesto diferido (LP);;;;;117054000;118764000;74867000;91204000;101029000;113532000;135427000;124564000;140135000;158120000;134317000
Cargos diferidos (LP);;;;;;;;;;;;;15047000;10517000;17764000
Otros activos;7713000;5311000;3710000;2742000;;;;;;;;;;;
Activos no circulantes;305158000;316586000;317743000;323984000;473047000;493737000;435585000;429487000;682559000;714686000;683812000;679376000;713650000;724983000;737254000
Activos totales;1311836000;1381271000;1490271000;1647267000;1671044000;1777971000;1867454000;1903097000;2311408000;2557424000;2952359000;2964488000;3010789000;2854405000;2856276000
Cuentas por pagar;117596000;139879000;139683000;175107000;148108000;135540000;117934000;155034000;110893000;112518000;158195000;146180000;132088000;142950000;137481000
Gastos devengados;355294000;361641000;396042000;448115000;504782000;539048000;612899000;638769000;743602000;832998000;1075459000;946421000;986846000;1051188000;1153650000
Parte circ. de la deuda;111000;117000;128000;140000;153000;167000;183000;200000;218000;239000;;;;;
Parte circ. arrendamientos;;;;;;;;;71408000;78604000;83787000;86083000;80459000;64619000;69794000
Otros pasivos circulantes, Total;;;;;2506000;5141000;16880000;25533000;14571000;22267000;41232000;37518000;35718000;26982000;23581000
Impuestos (CP);;;;;2506000;5141000;7877000;12536000;1623000;4015000;15631000;15535000;11144000;2977000;1644000
Ingresos no devengados (CP);;;;;;;9003000;12997000;12948000;18252000;25601000;21983000;24574000;24005000;21937000
Pasivos circulantes;473001000;501637000;535853000;623362000;655549000;679896000;747896000;819536000;940692000;1046626000;1358673000;1216202000;1235111000;1285739000;1384506000
Deuda a largo plazo;1545000;1428000;1300000;1159000;1007000;840000;657000;457000;239000;;;;;;
Arrendamientos financieros (LP);;;;;;;;;201961000;223869000;181291000;151768000;161440000;168900000;175744000
