Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;30/09/2011;30/09/2012;30/09/2013;30/09/2014;30/09/2015;30/09/2016;30/09/2017;30/09/2018;30/09/2019;30/09/2020;30/09/2021;30/09/2022;30/09/2023;30/09/2024;30/09/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Efectivo e inv. a CP, Total;10213000;6579000;11193000;10560000;8634000;11327000;9922000;17726000;14097000;15605000;35686000;35980000;21023000;32350000;33709000
Efectivo y equivalentes;9698000;5520000;10638000;9964000;8020000;11327000;9922000;17726000;14097000;15605000;35686000;35980000;21023000;32350000;33709000
Inversiones a corto plazo;515000;1059000;555000;596000;614000;;;;;;;;;;
Cuentas por cobrar, Total;1940000;2039000;1709000;1745000;2154000;4365000;3187000;7320000;8362000;6968000;7790000;8740000;10095000;5832000;3940000
Cuentas por cobrar;779000;1743000;1382000;1060000;2154000;4365000;2654000;3206000;2176000;1040000;1724000;3506000;5816000;;
Otras cuentas por cobrar;1161000;296000;327000;685000;;;533000;4114000;5232000;5727000;5846000;5004000;4030000;5563000;3940000
Títulos por cobrar;;;;;;;;;954000;201000;220000;230000;249000;269000;
Inventario;1174000;1260000;1472000;1879000;2368000;2019000;2149000;2353000;2598000;2372000;2659000;3893000;4412000;4676000;4857000
Gastos anticipados;1025000;1123000;1668000;3789000;3779000;2897000;3826000;4910000;5446000;6084000;1078000;939000;1391000;4427000;4968000
Otros activos circ., Total;5307000;3707000;4618000;5378000;;8779000;7158000;4493000;5387000;404000;5737000;1609000;552000;;3394000
Impuesto diferido (CP);5195000;3635000;4618000;5378000;;;;;;;;;;;
Otros activos circulantes;112000;72000;;;;8779000;7158000;4493000;5387000;404000;5737000;1609000;552000;;3394000
Activos circulantes;19659000;14708000;20660000;23351000;16935000;29387000;26242000;36802000;35890000;31433000;52950000;51161000;37473000;47285000;50868000
Inmovilizado material neto;65892000;79940000;98629000;113962000;134150000;141073000;148410000;172403000;183956000;206929000;200260000;261663000;317636000;306306000;304808000
Inmovilizado material bruto;82692000;100536000;124336000;144636000;171075000;181311000;193684000;223408000;239261000;265874000;263459000;332240000;398487000;;
Depreciación acumulada;-16800000;-20596000;-25707000;-30674000;-36925000;-40238000;-45274000;-51005000;-55305000;-58945000;-63199000;-70577000;-80851000;;
Fondo de comercio;23550000;43421000;43987000;43374000;52641000;45847000;43866000;43591000;53630000;45686000;39379000;67767000;70772000;61911000;62725000
Otros activos intangibles;43183000;51785000;56031000;54643000;60997000;52766000;74424000;71532000;75951000;73077000;67824000;144049000;179145000;163461000;171948000
Inversiones a largo plazo;;600000;600000;;;1200000;80000;760000;148000;84000;;;;;
Otros activos, Total;1093000;1939000;3193000;3812000;2076000;5788000;6862000;4644000;5181000;3724000;4206000;6098000;5858000;5401000;6586000
Préstamos por cobrar (LP);;;;;;4800000;4993000;2874000;4211000;2908000;2839000;4691000;4443000;4174000;3849000
Otros activos;1093000;1939000;3193000;3812000;2076000;988000;1869000;1770000;970000;816000;1367000;1407000;1415000;1227000;2737000
Activos no circulantes;133718000;177685000;202440000;215791000;249864000;246674000;273642000;292930000;318866000;329500000;311669000;479577000;573411000;537079000;546067000
Activos totales;153377000;192393000;223100000;239142000;266799000;276061000;299884000;329732000;354756000;360933000;364619000;530738000;610884000;584364000;596935000
Cuentas por pagar;1215000;1865000;1816000;2198000;2164000;1701000;2147000;2825000;3810000;4799000;4408000;5482000;6111000;5637000;5836000
Gastos devengados;9596000;14147000;18267000;24681000;8494000;11867000;10484000;11609000;14446000;14137000;9671000;10848000;13507000;20280000;32607000
Parte circ. de la deuda;5494000;6603000;8830000;12315000;9469000;9950000;17440000;19047000;15754000;16304000;6434000;11896000;22843000;18871000;21198000
Parte circ. arrendamientos;;;;;;;;;;1628000;1780000;2795000;2977000;3290000;3314000
Otros pasivos circulantes, Total;1386000;238000;;;2496000;3519000;1040000;364000;198000;436000;732000;480000;2544000;;
Impuestos (CP);;;;;;559000;549000;;;;;;;;
Ingresos no devengados (CP);;;;;168000;256000;196000;134000;83000;336000;354000;234000;96000;;
Otros pasivos circulantes;1386000;238000;;;2328000;2704000;295000;230000;115000;100000;378000;246000;2448000;;
Pasivos circulantes;17691000;22853000;28913000;39194000;22623000;27037000;31111000;33845000;34208000;37304000;23025000;31501000;47982000;48078000;62955000
Deuda a largo plazo;30060000;56925000;69762000;58037000;84880000;95936000;106912000;121580000;127774000;125131000;118734000;190567000;216908000;219326000;214583000
Arrendamientos financieros (LP);;;;;;;;;;25439000;24150000;36001000;35175000;30759000;27320000
Otros pasivos, Total;25404000;25003000;27310000;28612000;30810000;23749000;26636000;20975000;23354000;20752000;19487000;30911000;29495000;23091000;31198000
Impuestos diferidos (LP);23033000;23963000;26354000;27688000;28087000;23266000;25541000;19552000;21658000;20390000;19137000;30562000;29143000;22693000;21689000
Otros pasivos;2371000;1040000;956000;924000;2723000;483000;1095000;1423000;1696000;362000;350000;349000;352000;398000;9509000
Pasivos no circulantes;55464000;81928000;97072000;86649000;115690000;119685000;133548000;142555000;151128000;171322000;162371000;257479000;281578000;273176000;273101000
Pasivos totales;73155000;104781000;125985000;125843000;138313000;146722000;164659000;176400000;185336000;208626000;185396000;288980000;329560000;321254000;336056000
Patrimonio ordinario, Total;76913000;84306000;93781000;110289000;122623000;126755000;132745000;153435000;169576000;152721000;179823000;241269000;281581000;263360000;261101000
Acciones ordinarias;96000;96000;95000;101000;103000;97000;97000;97000;96000;91000;90000;92000;94000;90000;87000
Capital desembolsado adicional;61446000;61212000;61506000;66727000;69729000;64552000;63453000;64212000;61312000;51833000;50040000;67227000;80437000;61511000;50908000
Beneficio no distribuido;15361000;22939000;32130000;43370000;52682000;62106000;69195000;88906000;108168000;100797000;129693000;173950000;201050000;201759000;210106000
Resultado global y otros;10000;59000;50000;91000;109000;;;220000;;;;;;;
