Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;30/09/2011;28/09/2012;27/09/2013;03/10/2014;02/10/2015;30/09/2016;29/09/2017;28/09/2018;27/09/2019;02/10/2020;01/10/2021;30/09/2022;29/09/2023;27/09/2024;03/10/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Efectivo e inv. a CP, Total;410087000;307100000;511100000;805800000;1045900000;1083800000;1616800000;1027400000;1054600000;974800000;1020100000;586300000;734400000;1562700000;1374200000
Efectivo y equivalentes;410087000;307100000;511100000;805800000;1043600000;1083800000;1616800000;733300000;851300000;566700000;882900000;566000000;718800000;1368600000;1161300000
Inversiones a corto plazo;;;;;2300000;;;294100000;203300000;408100000;137200000;20300000;15600000;194100000;212900000
Cuentas por cobrar, Total;177940000;297600000;292700000;317600000;538000000;416600000;454700000;655800000;465300000;358500000;756200000;1094000000;864300000;508800000;598100000
Cuentas por cobrar;177940000;297600000;292700000;317600000;538000000;416600000;454700000;655800000;465300000;358500000;756200000;1094000000;864300000;508800000;598100000
Inventario;198183000;232900000;229500000;270800000;267900000;424000000;493500000;490200000;609700000;806000000;885000000;1212100000;1119700000;784800000;754700000
Gastos anticipados;;;;;;;;;;;106700000;242300000;306000000;234800000;201000000
Otros activos circ., Total;30124000;45700000;40000000;35000000;62900000;77700000;68700000;88800000;105000000;178300000;97400000;95200000;155100000;249900000;149000000
Efectivo restringido;712000;;;;;;;;;;;;;;
Otros activos circulantes;29412000;45700000;40000000;35000000;62900000;77700000;68700000;88800000;105000000;178300000;97400000;95200000;155100000;249900000;149000000
Activos circulantes;816334000;883300000;1073300000;1429200000;1914700000;2002100000;2633700000;2262200000;2234600000;2317600000;2865400000;3229900000;3179500000;3341000000;3077000000
Inmovilizado material neto;251365000;279400000;328600000;555900000;826400000;806300000;882300000;1140900000;1205600000;1417400000;1667700000;1827800000;1595500000;1471900000;1387000000
Inmovilizado material bruto;673238000;754600000;859300000;1177100000;1585400000;1767800000;2059000000;2549700000;2883900000;3347800000;3876100000;4334100000;4377100000;4401700000;4499000000
Depreciación acumulada;-421873000;-475200000;-530700000;-621200000;-759000000;-961500000;-1176700000;-1408800000;-1678300000;-1930400000;-2208400000;-2506300000;-2781600000;-2929800000;-3112000000
Fondo de comercio;663041000;800500000;800500000;851000000;856700000;873300000;883000000;1189800000;1189800000;1189800000;2176700000;2176700000;2176700000;2176700000;2176700000
Otros activos intangibles;86808000;94000000;64800000;75000000;45000000;67000000;67800000;143700000;107900000;53500000;1698600000;1444700000;1222100000;900500000;809000000
Inversiones a largo plazo;;;;2300000;;;;22800000;27600000;5200000;7100000;500000;4100000;11400000;14200000
Otros activos, Total;72841000;79400000;65900000;60400000;76600000;106700000;106800000;69500000;74100000;123200000;175200000;194200000;248800000;381800000;453100000
Impuesto diferido (LP);60863000;65200000;54100000;50800000;56300000;54100000;66500000;36500000;40800000;55300000;119500000;52700000;192300000;303500000;375600000
Otros activos;11978000;14200000;11800000;9600000;20300000;52600000;40300000;33000000;33300000;67900000;55700000;141500000;56500000;78300000;77500000
Activos no circulantes;1074055000;1253300000;1259800000;1544600000;1804700000;1853300000;1939900000;2566700000;2605000000;2789100000;5725300000;5643900000;5247200000;4942300000;4840000000
Activos totales;1890389000;2136600000;2333100000;2973800000;3719400000;3855400000;4573600000;4828900000;4839600000;5106700000;8590700000;8873800000;8426700000;8283300000;7917000000
Cuentas por pagar;115290000;140600000;126500000;200600000;291100000;110400000;258400000;229900000;190500000;226900000;236000000;274200000;159200000;171800000;236000000
Gastos devengados;35684000;31300000;41200000;70700000;81500000;42300000;68100000;85200000;76000000;113500000;135300000;114300000;94300000;127900000;180700000
Parte circ. de la deuda;26089000;;;;;;;;;;;499200000;299400000;;499400000
Parte circ. arrendamientos;;;;;;;;;;28200000;33000000;18500000;28300000;20200000;36800000
Otros pasivos circulantes, Total;70033000;10800000;12000000;26300000;91300000;57500000;61400000;74600000;107500000;79800000;254200000;320700000;374500000;282800000;370300000
Impuestos (CP);;;;;;;;;;31200000;88600000;48800000;58800000;52500000;71300000
Ingresos no devengados (CP);;;;;;;;;38500000;20300000;119700000;226900000;270900000;192200000;202800000
Otros pasivos circulantes;70033000;10800000;12000000;26300000;91300000;57500000;61400000;74600000;69000000;28300000;45900000;45000000;44800000;38100000;96200000
Pasivos circulantes;247096000;182700000;179700000;297600000;463900000;210200000;387900000;389700000;374000000;448400000;658500000;1226900000;955700000;602700000;1323200000
Deuda a largo plazo;;;;;;;;;;;2235600000;1689900000;992900000;994300000;496400000
Arrendamientos financieros (LP);;;;;;;;;;150700000;144500000;206900000;188700000;185900000;170500000
Otros pasivos, Total;34198000;48400000;52300000;143800000;96300000;103800000;120000000;342200000;343300000;343400000;255000000;281100000;206700000;163700000;169800000
Pensión y otros beneficios;;;;;;;5500000;;;;;;;;
Otros pasivos;34198000;48400000;52300000;143800000;96300000;103800000;114500000;342200000;343300000;343400000;255000000;281100000;206700000;163700000;169800000
Pasivos no circulantes;34198000;48400000;52300000;143800000;96300000;103800000;120000000;342200000;343300000;494100000;2635100000;2177900000;1388300000;1343900000;836700000
Pasivos totales;281294000;231100000;232000000;441400000;560200000;314000000;507900000;731900000;717300000;942500000;3293600000;3404800000;2344000000;1946600000;2159900000
Patrimonio ordinario, Total;1609095000;1905500000;2101100000;2532400000;3159200000;3541400000;4065700000;4097000000;4122300000;4164200000;5297100000;5469000000;6082700000;6336700000;5757100000
Acciones ordinarias;46597000;48100000;47000000;47300000;47600000;46200000;45800000;44400000;42500000;41400000;41300000;40000000;39900000;40000000;37200000
Capital desembolsado adicional;1795958000;1920000000;2041400000;2248200000;2495200000;2686000000;2893800000;3061000000;3188000000;3403700000;79600000;11900000;172400000;269400000;68100000
Beneficio no distribuido;-101275000;100800000;378900000;794900000;1469200000;2263600000;3059600000;3732900000;4312600000;4820400000;5185800000;5421900000;5876000000;6032900000;5656900000
Autocartera;-130854000;-161800000;-365300000;-553100000;-844600000;-1443500000;-1925000000;-2732500000;-3412900000;-4093500000;-1700000;;;;
Resultado global y otros;-1331000;-1600000;-900000;-4900000;-8200000;-10900000;-8500000;-8800000;-7900000;-7800000;-7900000;-4800000;-5600000;-5600000;-5100000
Patrimonio neto;1609095000;1905500000;2101100000;2532400000;3159200000;3541400000;4065700000;4097000000;4122300000;4164200000;5297100000;5469000000;6082700000;6336700000;5757100000
Total pasivos y patrimonio neto;1890389000;2136600000;2333100000;2973800000;3719400000;3855400000;4573600000;4828900000;4839600000;5106700000;8590700000;8873800000;8426700000;8283300000;7917000000
Valor en libros tangible;859246000;1011000000;1235800000;1606400000;2257500000;2601100000;3114900000;2763500000;2824600000;2920900000;1421800000;1847600000;2683900000;3259500000;2771400000
Deuda total;26089000;0;0;0;0;0;0;0;0;178900000;2413100000;2414500000;1509300000;1200400000;1203100000
Deuda neta;-383998000;-307100000;-511100000;-805800000;-1045900000;-1083800000;-1616800000;-1050200000;-1082200000;-801100000;1385900000;1827700000;770800000;-373700000;-185300000
Fondo de maniobra;569238000;700600000;893600000;1131600000;1450800000;1791900000;2245800000;1872500000;1860600000;1869200000;2206900000;2003000000;2223800000;2738300000;1753800000
Fondo de maniobra neto;185240000;393500000;382500000;325800000;404900000;708100000;629000000;845100000;806000000;922600000;1219800000;1934400000;1817100000;1195800000;915800000
Capital total;1635184000;1905500000;2101100000;2532400000;3159200000;3541400000;4065700000;4097000000;4122300000;4343100000;7710200000;7883500000;7592000000;7537100000;6960200000
Capital invertido;1225097000;1598400000;1590000000;1726600000;2113300000;2457600000;2448900000;3046800000;3040100000;3363100000;6683000000;7296700000;6853500000;5963000000;5571800000
Capital empleado;1643293000;1953900000;2153400000;2676200000;3255500000;3645200000;4185700000;4439200000;4465600000;4658300000;7932200000;7646900000;7471000000;7680600000;6593800000
Ventas;1418900000;1568600000;1792000000;2291500000;3258400000;3289000000;3651400000;3868000000;3376800000;3355700000;5109100000;5485500000;4772400000;4178000000;4086900000
Ventas totales;1418900000;1568600000;1792000000;2291500000;3258400000;3289000000;3651400000;3868000000;3376800000;3355700000;5109100000;5485500000;4772400000;4178000000;4086900000
Coste de ventas;-798600000;-901500000;-1025400000;-1268800000;-1703900000;-1623800000;-1809600000;-1917300000;-1773000000;-1742800000;-2596700000;-2881200000;-2665100000;-2457200000;-2404800000
Coste de los bienes vendidos;-798600000;-901500000;-1025400000;-1268800000;-1703900000;-1623800000;-1809600000;-1917300000;-1773000000;-1742800000;-2596700000;-2881200000;-2665100000;-2457200000;-2404800000
Beneficio bruto;620300000;667100000;766600000;1022700000;1554500000;1665200000;1841800000;1950700000;1603800000;1612900000;2512400000;2604300000;2107300000;1720800000;1682100000
Gastos operativos totales;-322600000;-403700000;-415100000;-457200000;-528000000;-541700000;-588700000;-630600000;-645000000;-707300000;-890800000;-1046600000;-954000000;-933400000;-1170400000
Gastos en VG&A;-137300000;-158400000;-159700000;-179100000;-191300000;-195900000;-205900000;-207800000;-198300000;-231400000;-322500000;-329800000;-314000000;-300800000;-371500000
Retribución en acciones;;;;;;;;;;;;;;;-12500000
Gastos de I+D;-168600000;-212500000;-226300000;-252200000;-303200000;-312400000;-355200000;-404500000;-424100000;-464100000;-532300000;-617900000;-606800000;-631700000;-785500000
Amortización de intangibles;-16700000;-32800000;-29100000;-25900000;-33500000;-33400000;-27600000;-18300000;-22600000;-11800000;-36000000;-98900000;-33200000;-900000;-900000
Beneficio operativo;297700000;263400000;351500000;565500000;1026500000;1123500000;1253100000;1320100000;958800000;905600000;1621600000;1557700000;1153300000;787400000;511700000
Gastos no operativos totales;-1400000;-700000;-600000;0;500000;-6600000;3200000;12800000;9000000;-100000;-14000000;-50400000;-46200000;-1000000;26700000
Gastos por intereses;-1900000;;;;;;;;;;-13400000;-47900000;-64400000;-30700000;-27100000
Ingresos por int. e inversiones;;;;;;;;;18800000;;;;;;
Otros ingresos y gastos no operativos;500000;-700000;-600000;;500000;-6600000;3200000;12800000;-9800000;-100000;-600000;-2500000;18200000;29700000;53800000
EBT excluyendo ítems inusuales;296300000;262700000;350900000;565500000;1027000000;1116900000;1256300000;1332900000;967800000;905500000;1607600000;1507300000;1107100000;786400000;538400000
Ítems inusuales totales;-2400000;-7800000;-6400000;-300000;-3400000;83700000;700000;-800000;-6800000;-13800000;-8900000;-30700000;-28300000;-150000000;-11700000
Cargos de fusión y reestructuración;-2400000;-7800000;-6400000;-300000;-3400000;83700000;-600000;-800000;-6800000;-2000000;-1800000;-10000000;48500000;-2100000;-11700000
Beneficios o pérdidas por venta de activos;;;;;;;;;;;;;-12300000;;
Reducción de valor de activos;;;;;;;;;;-11800000;-7100000;-20700000;-64500000;-147900000;
Otros ítems inusuales;;;;;;;1300000;;;;;;;;
EBT incluyendo ítems inusuales;293900000;254900000;344500000;565200000;1023600000;1200600000;1257000000;1332100000;961000000;891700000;1598700000;1476600000;1078800000;636400000;526700000
Gastos por impuestos;-67300000;-52900000;-66400000;-107500000;-225300000;-205400000;-246800000;-413700000;-107400000;-76900000;-100400000;-201400000;-96000000;-40400000;-49600000
Beneficios de operaciones continuas;226600000;202000000;278100000;457700000;798300000;995200000;1010200000;918400000;853600000;814800000;1498300000;1275200000;982800000;596000000;477100000
Beneficio neto total;226600000;202000000;278100000;457700000;798300000;995200000;1010200000;918400000;853600000;814800000;1498300000;1275200000;982800000;596000000;477100000
Beneficio neto;226600000;202000000;278100000;457700000;798300000;995200000;1010200000;918400000;853600000;814800000;1498300000;1275200000;982800000;596000000;477100000
Beneficio neto comunes incl. ítems extra;226600000;202000000;278100000;457700000;798300000;995200000;1010200000;918400000;853600000;814800000;1498300000;1275200000;982800000;596000000;477100000
Beneficio neto comunes excl. ítems extra;226600000;202000000;278100000;457700000;798300000;995200000;1010200000;918400000;853600000;814800000;1498300000;1275200000;982800000;596000000;477100000
EBITDAR;381800000;376600000;465700000;699300000;1238800000;1390800000;1528500000;1639800000;1349100000;1305600000;2095400000;2303700000;1826000000;1294800000;1029400000
EBITDA;374200000;366100000;454900000;688200000;1222300000;1371300000;1507900000;1619300000;1330400000;1269900000;2058300000;2247800000;1767000000;1238700000;974700000
EBITA;314400000;296200000;380600000;591400000;1060000000;1156900000;1280700000;1346800000;1015500000;951600000;1726100000;1853400000;1379200000;973900000;696000000
EBIT;297700000;263400000;351500000;565500000;1026500000;1123500000;1253100000;1320100000;958800000;905600000;1621600000;1557700000;1153300000;787400000;511700000
Beneficio neto;226600000;202000000;278100000;457700000;798300000;995200000;1010200000;918400000;853600000;814800000;1498300000;1275200000;982800000;596000000;477100000
D&A total;76500000;102700000;103400000;122700000;195800000;247800000;254800000;299200000;371600000;364300000;436700000;690100000;613700000;451300000;463000000
Amortización de intangibles;16700000;32800000;29100000;25900000;33500000;33400000;27600000;26700000;56700000;46000000;104500000;295700000;225900000;186500000;184300000
Depreciación y amortización;59800000;69900000;74300000;96800000;162300000;214400000;227200000;272500000;314900000;318300000;332200000;394400000;387800000;264800000;278700000
Amortización de cargos diferidos;1500000;;;;;;;;;;1100000;4000000;4000000;2500000;1900000
Otros elementos no monetarios;72100000;89500000;92000000;66600000;60000000;34600000;48900000;122500000;87700000;158800000;139700000;282800000;94900000;211000000;165600000
Costes de reestructuración;;;;;;;;;;11800000;7100000;20700000;64500000;147900000;
Retribución en acciones;72000000;88300000;88800000;103100000;120700000;78000000;88500000;107800000;80100000;156600000;191900000;195200000;185100000;180300000;232400000
Beneficio fiscal retrib. acciones;-12500000;-6800000;-10800000;-40800000;-57300000;-43700000;-40800000;;;;;;;;
Otras actividades operativas;12600000;8000000;14000000;4300000;-3400000;300000;1200000;14700000;7600000;-9600000;-59300000;66900000;-154700000;-117200000;-66800000
Variación activos operativos;-10900000;-109000000;26200000;125400000;-61300000;-199900000;142400000;-79500000;54500000;-133400000;-303800000;-827500000;161000000;563900000;193200000
