Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;29/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Efectivo e inv. a CP, Total;1078900000;624000000;442300000;624600000;430900000;560900000;418600000;1057900000;523400000;770100000;637400000;600000000;868900000;969300000;980200000
Efectivo y equivalentes;1078900000;624000000;442300000;624600000;430900000;560900000;418600000;1057900000;523400000;770100000;637400000;600000000;868900000;969300000;896500000
Valores negociables;;;;;;;;;;;;;;;83700000
Cuentas por cobrar, Total;726000000;753400000;728000000;621700000;525900000;805300000;902000000;871000000;820300000;687100000;879400000;866200000;879400000;842900000;890300000
Cuentas por cobrar;588800000;660500000;603600000;527700000;424700000;669500000;728300000;736000000;705900000;549600000;678900000;739800000;757800000;693100000;703000000
Otras cuentas por cobrar;;;124400000;94000000;101200000;135800000;173700000;135000000;114400000;137500000;200500000;126400000;121600000;149800000;187300000
Títulos por cobrar;137200000;92900000;;;;;;;;;;;;;
Inventario;229200000;242200000;234900000;226200000;179300000;592700000;591500000;591800000;615900000;664300000;804700000;792900000;802300000;727800000;715900000
Gastos anticipados;21600000;23900000;13800000;16100000;10600000;36100000;;;;;;;;;
Otros activos circ., Total;62300000;104500000;118700000;88500000;112100000;174600000;277600000;245600000;224800000;297300000;457200000;378900000;297900000;308400000;349100000
Impuesto diferido (CP);11600000;39200000;50400000;27200000;;;;;;;;;;;
Otros activos circulantes;50700000;65300000;68300000;61300000;112100000;174600000;277600000;245600000;224800000;297300000;457200000;378900000;297900000;308400000;349100000
Activos circulantes;2118000000;1748000000;1537700000;1577100000;1258800000;2169600000;2189700000;2766300000;2184400000;2418800000;2778700000;2638000000;2848500000;2848400000;2935500000
Inmovilizado material neto;1430100000;1995900000;1970100000;1798000000;1590800000;4507400000;4673700000;4608300000;4701000000;4386500000;4311500000;4355500000;4645200000;4649400000;4962700000
Inmovilizado material bruto;2450200000;3220500000;3428800000;3141200000;2980900000;6006700000;6770300000;7167100000;7705600000;7802900000;7818700000;8017400000;8746800000;9041400000;9942400000
Depreciación acumulada;-1020100000;-1224600000;-1458700000;-1343200000;-1390100000;-1499300000;-2096600000;-2558800000;-3004600000;-3416400000;-3507200000;-3661900000;-4101600000;-4392000000;-4979700000
Fondo de comercio;1453300000;2453100000;2418700000;2191600000;1983300000;8250100000;8405500000;8260800000;7631400000;6151000000;6152600000;5291900000;5325300000;5582300000;1944700000
Otros activos intangibles;4586000000;7234800000;6825100000;5755800000;4745700000;14031900000;14296500000;13776400000;13656000000;13556100000;13286800000;12800100000;12614600000;12195200000;11991100000
Inversiones a largo plazo;2487900000;2431800000;2506500000;2399400000;2441000000;;;;;;;40000000;41600000;96300000;255500000
Otros activos, Total;348500000;348600000;322000000;258200000;256700000;382500000;681500000;698000000;687000000;818700000;1089400000;742800000;899900000;692700000;648900000
Préstamos por cobrar (LP);32700000;26300000;23600000;21600000;;;;;;;;;;;
Impuesto diferido (LP);149900000;125400000;38300000;58200000;;;;;;105700000;180200000;125800000;123700000;38600000;19900000
Cargos diferidos (LP);;;;;;;;;;;;;;;42200000
Otros activos;165900000;196900000;260100000;178400000;256700000;382500000;681500000;698000000;687000000;713000000;909200000;617000000;776200000;654100000;586800000
Activos no circulantes;10305800000;14464200000;14042400000;12403000000;11017500000;27171900000;28057200000;27343500000;26675400000;24912300000;24840300000;23230300000;23526600000;23215900000;19802900000
Activos totales;12423800000;16212200000;15580100000;13980100000;12276300000;29341500000;30246900000;30109800000;28859800000;27331100000;27619000000;25868300000;26375100000;26064300000;22738400000
Cuentas por pagar;301200000;490300000;599700000;618000000;559600000;1297600000;1568600000;1616800000;1686800000;1732700000;2098100000;2225100000;2322600000;1875000000;1980500000
Gastos devengados;451000000;459400000;471600000;475600000;405500000;831900000;763400000;701300000;646200000;637500000;577700000;576700000;654700000;735700000;673100000
Préstamos a corto plazo;2200000;13200000;525100000;75100000;28700000;13100000;386400000;11400000;6900000;14000000;6900000;20900000;21500000;19900000;39400000
Parte circ. de la deuda;44700000;1232400000;61800000;786900000;;671700000;328400000;1583100000;886800000;1049700000;571100000;370900000;885100000;2400000;2384000000
Parte circ. arrendamientos;;;;;;;;3200000;81100000;51200000;50000000;50000000;52100000;56600000;63500000
Otros pasivos circulantes, Total;478100000;403400000;503200000;369300000;223400000;343200000;352500000;385100000;387700000;424500000;318400000;131800000;156600000;355600000;170300000
Impuestos diferidos (CP);161300000;152300000;138100000;164800000;;;;;;;;;;;
Otros pasivos circulantes;316800000;251100000;365100000;204500000;223400000;343200000;352500000;385100000;387700000;424500000;318400000;131800000;156600000;355600000;170300000
Pasivos circulantes;1277200000;2598700000;2161400000;2324900000;1217200000;3157500000;3399300000;4300900000;3695500000;3909600000;3622200000;3375400000;4092600000;3045200000;5310800000
Deuda a largo plazo;1914900000;3422500000;3213000000;2321300000;2908700000;11387700000;10598700000;8906100000;8161000000;7322100000;6687700000;6109000000;5263600000;6057000000;3811400000
Arrendamientos financieros (LP);;;;;;;;82100000;179500000;166300000;150400000;155500000;212400000;218400000;214100000
Otros pasivos, Total;1541500000;2199400000;1575600000;1447800000;1087300000;3174600000;3061600000;3084900000;3150700000;3311800000;3494600000;3313200000;3371400000;3291000000;2859400000
Impuestos diferidos (LP);455600000;948500000;911400000;784300000;799800000;1699000000;1896300000;2128900000;2258600000;2381600000;2704600000;2646400000;2697200000;2733400000;2284700000
Pensión y otros beneficios;697500000;833000000;462600000;542900000;201900000;1196000000;848500000;726600000;716600000;763200000;654400000;473300000;465800000;416700000;427100000
Otros pasivos;388400000;417900000;201600000;120600000;85600000;279600000;316800000;229400000;175500000;167000000;135600000;193500000;208400000;140900000;147600000
