Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Efectivo e inv. a CP, Total;584088000;337039000;431984000;303236000;338366000;543789000;333558000;371889000;322658000;395986000;466802000;340537000;239731000;306160000;404824000
Efectivo y equivalentes;584088000;337039000;431984000;303236000;338366000;543789000;333558000;357161000;301083000;375880000;445084000;292034000;222848000;290188000;378564000
Valores negociables;;;;;;;;14.728.000;21.575.000;20.106.000;21.718.000;48.503.000;16.883.000;15.972.000;26260000
Cuentas por cobrar, Total;286.226.000;297.976.000;295.290.000;273.704.000;262.416.000;271.993.000;345.875.000;366.286.000;418.673.000;395.071.000;383.569.000;408.834.000;443.467.000;459.495.000;345583000
Cuentas por cobrar;286.226.000;297.976.000;295.290.000;273.704.000;262.416.000;271.993.000;345.875.000;366.286.000;418.673.000;395.071.000;383.569.000;408.834.000;443.467.000;459.495.000;345583000
Inventario;298.775.000;323.347.000;333.621.000;335.593.000;330.275.000;316.171.000;395.744.000;427.778.000;476.557.000;513.196.000;477.643.000;578.507.000;626.216.000;600.133.000;404395000
Gastos anticipados;62047000;54593000;76314000;75953000;65481000;47404000;52409000;68894000;86593000;116420000;99091000;79910000;95426000;84602000;125442000
Otros activos circ., Total;49120000;60267000;63345000;7422000;7301000;4036000;1221000;1322000;1851000;1752000;2013000;3195000;2566000;20734000;658094000
Efectivo restringido;;;;;;;;;;;;;;14700000;14700000
Impuesto diferido (CP);41014000;51025000;52917000;;;;;;;;;;;;
Otros activos circulantes;8106000;9242000;10428000;7422000;7301000;4036000;1221000;1322000;1851000;1752000;2013000;3195000;2566000;6034000;643394000
Activos circulantes;1280256000;1073222000;1200554000;995908000;1003839000;1183393000;1128807000;1236169000;1306332000;1422425000;1429118000;1410983000;1407406000;1471124000;1938338000
Inmovilizado material neto;251912000;297945000;325900000;317435000;316123000;302899000;382999000;432766000;543879000;574547000;573411000;578416000;603434000;611764000;590098000
Inmovilizado material bruto;566054000;626522000;679420000;675499000;656057000;664125000;789447000;889696000;1027404000;1127185000;1131385000;1135098000;1176599000;1222446000;1060153000
Depreciación acumulada;-314142000;-328577000;-353520000;-358064000;-339934000;-361226000;-406448000;-456930000;-483525000;-552638000;-557974000;-556682000;-573165000;-610682000;-470055000
Fondo de comercio;1438542000;1238452000;1354203000;1323553000;1295852000;1276720000;2235592000;2246579000;2245305000;2585966000;2504202000;2536730000;2914055000;2632314000;2305050000
Otros activos intangibles;879787000;1058792000;1255597000;1216720000;1199975000;1091663000;2383748000;2325052000;2156285000;2519746000;2289067000;2306165000;2501960000;2268714000;1524150000
Inversiones a largo plazo;2008000;2066000;1715000;1150000;;;;;13066000;;9560000;11912000;;5409000;1777000
Otros activos, Total;71598000;63210000;71038000;68021000;55985000;36538000;50346000;37425000;44953000;49875000;66364000;83857000;105691000;108589000;587826000
Cuentas por cobrar (LP);;;17600000;11300000;8100000;2700000;3300000;;;;;;;;
Impuesto diferido (LP);278000;1347000;943000;4011000;2341000;1712000;3810000;2446000;5572000;8073000;6820000;6402000;6748000;11374000;12593000
Otros activos;71320000;61863000;52495000;52710000;45544000;32126000;43236000;34979000;39381000;41802000;59544000;77455000;98943000;97215000;575233000
Activos no circulantes;2643847000;2660465000;3008453000;2926879000;2867935000;2707820000;5052685000;5041822000;5003488000;5730134000;5442604000;5517080000;6125140000;5626790000;5008901000
Activos totales;3924103000;3733687000;4209007000;3922787000;3871774000;3891213000;6181492000;6277991000;6309820000;7152559000;6871722000;6928063000;7532546000;7097914000;6947239000
Cuentas por pagar;67092000;75165000;71967000;64100000;66305000;69400000;92027000;106709000;102916000;102520000;118236000;126807000;132247000;141031000;130201000
Gastos devengados;149553000;149068000;156683000;166994000;156155000;158278000;210433000;208252000;220861000;263877000;310107000;276068000;295998000;298468000;246723000
Préstamos a corto plazo;4986000;4700000;4700000;4700000;;;;;;;;;;;
