Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Efectivo e inv. a CP, Total;902300000;974400000;1419000000;1586000000;1198100000;1280300000;1902700000;1425200000;1781800000;2151700000;1523100000;1755600000;2066600000;2649800000;3378200000
Efectivo y equivalentes;897900000;879100000;1398000000;1506100000;1172300000;1204900000;1902700000;1425200000;1781800000;2151700000;1523100000;1755600000;2066600000;2649800000;3378200000
Valores negociables;4400000;95300000;21000000;79900000;25800000;75400000;;;;;;;;;
Cuentas por cobrar, Total;324600000;398900000;400000000;504500000;448400000;463200000;608500000;571500000;678400000;888100000;1070200000;819900000;888900000;929800000;981400000
Cuentas por cobrar;304500000;353900000;398800000;442800000;446000000;455100000;565300000;549600000;646600000;863100000;1058300000;748700000;807900000;877400000;931200000
Otras cuentas por cobrar;20100000;45000000;1200000;61700000;2400000;8100000;43200000;21900000;31800000;25000000;11900000;71200000;81000000;52400000;50200000
Activos circulantes;1226900000;1373300000;1819000000;2090500000;1646500000;1743500000;2511200000;1996700000;2460200000;3039800000;2593300000;2575500000;2955500000;3579600000;4359600000
Inmovilizado material neto;567400000;561000000;572900000;586400000;607100000;615100000;652000000;661300000;785200000;813000000;937400000;1035100000;1047700000;1203800000;1228200000
Inmovilizado material bruto;986900000;1014800000;1084300000;1177400000;1313500000;1435500000;1596900000;1675200000;1927600000;2087900000;2394400000;2604600000;2723500000;3065300000;3378900000
Depreciación acumulada;-419500000;-453800000;-511400000;-591000000;-706400000;-820400000;-944900000;-1013900000;-1142400000;-1274900000;-1457000000;-1569500000;-1675800000;-1861500000;-2150700000
Fondo de comercio;665700000;665700000;665700000;665700000;665700000;665700000;665700000;665700000;665700000;665700000;2693200000;2642800000;2642800000;2642800000;2642800000
Otros activos intangibles;;;;;;;;;;;913400000;629800000;507300000;368100000;274200000
Inversiones a largo plazo;1164800000;1485500000;1904500000;2212400000;1993100000;2862600000;3525700000;4133800000;5216700000;5946300000;4938300000;4142600000;4514000000;5044500000;5276200000
Otros activos, Total;145500000;117300000;71000000;89400000;194500000;338100000;180800000;231800000;202600000;194200000;433400000;617500000;611500000;633200000;560800000
Impuesto diferido (LP);80600000;50700000;;36000000;113800000;132500000;70300000;109900000;77100000;60600000;;216100000;193800000;278000000;188100000
Otros activos;64900000;66600000;71000000;53400000;80700000;205600000;110500000;121900000;125500000;133600000;433400000;401400000;417700000;355200000;372700000
Activos no circulantes;2543400000;2829500000;3214100000;3553900000;3460400000;4481500000;5024200000;5692600000;6870200000;7619200000;9915700000;9067800000;9323300000;9892400000;9982200000
Activos totales;3770300000;4202800000;5033100000;5644400000;5106900000;6225000000;7535400000;7689300000;9330400000;10659000000;12509000000;11643300000;12278800000;13472000000;14341800000
Cuentas por pagar;82900000;89700000;103900000;143400000;170600000;180800000;216200000;228500000;202300000;185200000;317500000;303700000;314700000;292100000;324000000
Gastos devengados;63200000;90800000;72400000;82200000;153100000;243500000;377800000;503300000;675500000;905800000;1139400000;989200000;1135800000;219800000;235700000
Préstamos a corto plazo;;;;;;;;;;;75900000;71300000;72300000;59100000;21800000
Parte circ. arrendamientos;;;;;;;;;;;;;57500000;31900000;56000000
Otros pasivos circulantes, Total;30000000;21500000;38700000;23600000;21200000;39300000;68300000;54200000;44000000;87500000;77900000;46000000;71600000;89400000;61800000
Impuestos (CP);30000000;21500000;38700000;23600000;21200000;39300000;68300000;54200000;31800000;85000000;77900000;46000000;66200000;87100000;54900000
Otros pasivos circulantes;;;;;;;;;12200000;2500000;;;5400000;2300000;6900000
Pasivos circulantes;176100000;202000000;215000000;249200000;344900000;463600000;662300000;786000000;921800000;1178500000;1610700000;1410200000;1651900000;692300000;699300000
Deuda a largo plazo;;;;;;;;;;;37600000;31700000;17100000;;
Arrendamientos financieros (LP);;;;;;;;;146300000;154100000;249200000;329600000;251000000;246800000;391200000
