Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
Efectivo e inv. a CP, Total;25748000;45300000;21827000;26312000;44453000;45054000;28893000;39426000;52116000;52741000;92105000;51929000;52755000;55938000;63606000
Efectivo y equivalentes;14748000;44863000;16739000;25601000;44453000;45054000;28143000;31050000;51370000;51990000;91352000;51193000;51996000;55143000;62790000
Inversiones a corto plazo;11000000;437000;5088000;711000;;;750000;8376000;746000;;;;;;
Valores negociables;;;;;;;;;;751000;753000;736000;759000;795000;816000
Cuentas por cobrar, Total;143809000;157714000;149401000;157592000;161095000;177127000;174518000;181441000;187661000;185860000;208588000;283221000;263944000;306537000;329621000
Cuentas por cobrar;123480000;133040000;123148000;124660000;128918000;141157000;140285000;149751000;167314000;166078000;178288000;243161000;228807000;279021000;289603000
Otras cuentas por cobrar;20329000;24674000;26253000;32932000;32177000;35970000;34233000;31633000;20278000;19693000;30216000;39214000;34985000;27366000;39868000
Títulos por cobrar;;;;;;;;57000;69000;89000;84000;846000;152000;150000;150000
Inventario;175076000;197837000;202989000;189085000;208637000;229578000;238530000;284341000;277390000;273193000;303380000;381788000;442892000;398954000;386859000
Gastos anticipados;;;2649000;;;;;;;;;;;;
Otros activos circ., Total;832000;3457000;1846000;90732000;1548000;1778000;3150000;979000;2977000;4845000;2386000;3540000;4432000;236000;1416000
Otros activos circulantes;832000;3457000;1846000;90732000;1548000;1778000;3150000;979000;2977000;4845000;2386000;3540000;4432000;236000;1416000
Activos circulantes;345465000;404308000;378712000;463721000;415733000;453537000;445091000;506187000;520144000;516639000;606459000;720478000;764023000;761665000;781502000
Inmovilizado material neto;309441000;302527000;338515000;380963000;382025000;398399000;419860000;455919000;499618000;457712000;463156000;562194000;543720000;524937000;505877000
Inmovilizado material bruto;842901000;868035000;929830000;982174000;1024755000;1073549000;1119030000;1208946000;1312641000;1297680000;1375705000;1558213000;1607669000;1655531000;1676543000
Depreciación acumulada;-533460000;-565508000;-591315000;-601211000;-642730000;-675150000;-699170000;-753027000;-813023000;-839968000;-912549000;-996019000;-1063949000;-1130594000;-1170666000
Fondo de comercio;;;;;3520000;3520000;4906000;5933000;2671000;2638000;2959000;3237000;3605000;15017000;13612000
