Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
Efectivo e inv. a CP, Total;295000000;328000000;755000000;535000000;812000000;940000000;1020000000;783000000;899000000;723000000;1001000000;1346000000;1135000000;954000000;932000000
Efectivo y equivalentes;295000000;328000000;755000000;535000000;812000000;940000000;1020000000;783000000;899000000;723000000;1001000000;1346000000;1135000000;954000000;932000000
Cuentas por cobrar, Total;1008000000;1046000000;1028000000;1114000000;1224000000;1241000000;1109000000;1207000000;1286000000;1158000000;1239000000;1339000000;1361000000;1398000000;1363000000
Cuentas por cobrar;960000000;989000000;964000000;1033000000;1151000000;1175000000;1060000000;1135000000;1224000000;1097000000;1146000000;1241000000;1247000000;1277000000;1222000000
Otras cuentas por cobrar;48000000;57000000;64000000;81000000;73000000;66000000;49000000;72000000;62000000;61000000;93000000;98000000;114000000;121000000;141000000
Inventario;81000000;95000000;104000000;120000000;140000000;118000000;95000000;71000000;73000000;68000000;65000000;79000000;84000000;79000000;62000000
Gastos anticipados;121000000;110000000;114000000;127000000;135000000;152000000;186000000;195000000;191000000;234000000;332000000;212000000;172000000;224000000;264000000
Otros activos circ., Total;81000000;;1000000;20000000;;;248000000;;27000000;;101000000;1000000;2000000;2000000;12000000
Otros activos circulantes;81000000;;1000000;20000000;;;248000000;;27000000;;101000000;1000000;2000000;2000000;12000000
Activos circulantes;1586000000;1579000000;2002000000;1916000000;2311000000;2451000000;2658000000;2256000000;2476000000;2183000000;2738000000;2977000000;2754000000;2657000000;2633000000
Inmovilizado material neto;142000000;138000000;124000000;131000000;128000000;126000000;101000000;320000000;436000000;403000000;376000000;362000000;320000000;293000000;264000000
Inmovilizado material bruto;532000000;545000000;491000000;546000000;576000000;569000000;495000000;1054000000;1158000000;1038000000;1038000000;1002000000;891000000;878000000;796000000
Depreciación acumulada;-390000000;-407000000;-367000000;-415000000;-448000000;-443000000;-394000000;-734000000;-722000000;-635000000;-662000000;-640000000;-571000000;-585000000;-532000000
Fondo de comercio;3068000000;3059000000;3050000000;3452000000;3774000000;4085000000;3750000000;3945000000;3990000000;3969000000;4180000000;4394000000;4322000000;4710000000;4787000000
